config_id,iteration,seed,rule_kl_coef,entropy_coef,lr,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rank_pt,fourth_rate,deal_in_rate,batch_size,episode_count,illegal_action_rate,fallback_rate,forced_terminal_missed
0,0,20260425,0.0,0.0,3e-05,0.0,0.0,1.4437192678451538,2.0196036842889953e-08,1.0,2.142323319276329e-05,6.798114918638021e-05,0.0,1.0,0.0,0.0,36,2,0.0,0.0,0
0,1,20270425,0.0,0.0,3e-05,3.999841256818737e-12,0.0,1.4438496828079224,1.3662285747173541e-09,1.0,2.5628967705415562e-05,0.00010667680180631578,0.0,-0.5,0.5,0.0,19,2,0.0,0.0,0
0,2,20280425,0.0,0.0,3e-05,3.6234676283747325e-12,0.0,1.4205408096313477,-1.238516489365793e-08,1.0,3.2098283554660156e-05,0.0001314075052505359,0.0,0.75,0.0,0.0,34,2,0.0,0.0,0
1,0,20360425,0.0,0.0,0.0001,0.0,0.0,1.5930243730545044,-1.7865948720441338e-08,1.0,8.061647531576455e-05,0.00016169267473742366,0.0,-0.5,0.5,0.0,22,2,0.0,0.0,0
1,1,20370425,0.0,0.0,0.0001,5.566337321627479e-12,0.0,1.3861298561096191,-3.7681879838658006e-09,1.0,9.888355998555198e-05,0.00020529417088255286,0.0,1.0,0.0,0.0,36,2,0.0,0.0,0
1,2,20380425,0.0,0.0,0.0001,1.985744901844555e-12,0.0,1.3318521976470947,1.5690046595295826e-08,1.0,0.00015766508295200765,0.00033062431612052023,0.0,1.0,0.0,0.0,36,2,0.0,0.0,0
2,0,20460425,0.0,0.0,0.0003,0.0,0.0,1.3998842239379883,-1.1450278059044194e-08,1.0,0.0001099125511245802,0.00048477985546924174,0.0,0.75,0.0,0.0,35,2,0.0,0.0,0
2,1,20470425,0.0,0.0,0.0003,1.2362166845747424e-10,0.0,1.566169023513794,-4.304245848629762e-08,1.0,0.00019153791072312742,0.0006386507302522659,0.0,-0.25,0.5,0.0,34,2,0.0,0.0,0
2,2,20480425,0.0,0.0,0.0003,8.957033725831565e-11,0.0,1.3368374109268188,1.514863967599922e-08,1.0,0.0002642392064444721,0.0008299921173602343,0.0,0.75,0.0,0.0,30,2,0.0,0.0,0
3,0,20560425,0.0,0.001,3e-05,0.0,0.0,1.408551812171936,1.3162958500956279e-09,1.0,2.1305508198565803e-05,5.283541395328939e-05,0.0,-0.5,0.5,0.0,23,2,0.0,0.0,0
3,1,20570425,0.0,0.001,3e-05,1.457167719820518e-13,0.0,1.3574247360229492,3.083687261096202e-08,1.0,2.9747863663942553e-05,6.207296246429905e-05,0.0,-0.5,0.5,0.0,24,2,0.0,0.0,0
