config_id,rerun_config_id,source_config_id,source_report,config_key,config_key_label,iteration,seed,rule_kl_coef,entropy_coef,lr,opponent_mode,approx_kl,clip_fraction,entropy,rule_kl,rule_agreement,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rank_pt,fourth_rate,learner_win_rate,learner_deal_in_rate,learner_call_rate,learner_riichi_rate,deal_in_rate,batch_size,episode_count,illegal_action_rate_fail_closed,fallback_rate_fail_closed,forced_terminal_missed_fail_closed,illegal_attempt_count,fallback_policy_count,forced_terminal_preempt_count,forced_terminal_missed_count,autopilot_terminal_count,rulebase_fallback_count,rulebase_chosen_missing_count,rulebase_chosen_not_found_count,rulebase_batch_unsupported_count,illegal_action_rate,fallback_rate,forced_terminal_missed
0,0,93,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,0,20260425,0.01,0.01,3e-05,rulebase,0.0,0.0,1.405371069908142,7.737748219938112e-09,1.0,4.1844879888230935e-05,9.23026236705482e-05,0.0,0.3125,0.1875,0.0625,0.125,0.0,0.0,0.125,227,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
0,0,93,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,1,20270425,0.01,0.01,3e-05,rulebase,8.682783767151314e-13,0.0,1.3856643438339233,4.498475369985044e-09,1.0,8.146900654537603e-05,0.00016465337830595672,0.0,0.375,0.1875,0.0,0.125,0.0,0.0,0.125,238,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
0,0,93,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,2,20280425,0.01,0.01,3e-05,rulebase,4.562310598754671e-12,0.0,1.426118016242981,-1.1828404034019968e-08,1.0,0.00013086559192743152,0.00024705223040655255,0.0,0.4375,0.125,0.0625,0.125,0.0,0.0,0.125,222,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
0,0,93,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,3,20290425,0.01,0.01,3e-05,rulebase,6.9764389577786634e-12,0.0,1.4009642601013184,-9.54772882977295e-09,1.0,0.00012424183660186827,0.0002195369015680626,0.0,-0.4375,0.5,0.0,0.1875,0.0,0.0,0.1875,206,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
0,0,93,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,4,20300425,0.01,0.01,3e-05,rulebase,7.510572025415385e-12,0.0,1.437874674797058,-1.6203561159500168e-08,1.0,0.00011977656686212867,0.00021691835718229413,0.0,0.4375,0.1875,0.0,0.0625,0.0,0.0,0.0625,260,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
1,1,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,0,20360425,0.05,0.01,3e-05,rule_prior_greedy,0.0,0.0,1.4390921592712402,-9.592950434011982e-09,1.0,2.955306990770623e-05,7.44062417652458e-05,0.0,-0.09375,0.375,0.0625,0.1875,0.0,0.0,0.1875,190,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
1,1,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,1,20370425,0.05,0.01,3e-05,rule_prior_greedy,1.4540931935098922e-13,0.0,1.4198106527328491,-1.8886717967347977e-08,1.0,7.051324064377695e-05,0.00011683244520099834,0.0,-0.21875,0.4375,0.0625,0.3125,0.0,0.0,0.3125,208,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
1,1,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,2,20380425,0.05,0.01,3e-05,rule_prior_greedy,2.4181454364932686e-13,0.0,1.4196492433547974,-9.112010701528561e-09,1.0,0.00010349698277423158,0.00016594721819274127,0.0,0.3125,0.1875,0.0,0.0625,0.0,0.0,0.0625,251,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
1,1,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,3,20390425,0.05,0.01,3e-05,rule_prior_greedy,3.347308595667148e-13,0.0,1.4033280611038208,-9.846821136250128e-09,1.0,0.00013261516869533807,0.00018913261010311544,0.0,0.25,0.25,0.125,0.0625,0.0,0.0,0.0625,241,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
1,1,57,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rule_prior_greedy"",""rule_kl_coef"":0.05}",rule_prior_greedy/rule_kl=0.05/entropy=0.01/lr=3e-05,4,20400425,0.05,0.01,3e-05,rule_prior_greedy,1.7395029102036663e-13,0.0,1.4324837923049927,-2.772172935650019e-09,1.0,0.00015027198242023587,0.0002074923540931195,0.0,-0.21875,0.4375,0.0625,0.1875,0.0,0.0,0.1875,241,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
2,2,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,0,20460425,0.01,0.0,3e-05,rulebase,0.0,0.0,1.3988173007965088,-5.351216358917554e-09,1.0,3.735058271558955e-05,9.040524309966713e-05,0.0,-0.28125,0.4375,0.0,0.0625,0.0,0.0,0.0625,227,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
2,2,84,reports/keqingrl_discard_research_20260425_opponents,"{""entropy_coef"":0.0,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0/lr=3e-05,1,20470425,0.01,0.0,3e-05,rulebase,1.5917855141628356e-12,0.0,1.4307135343551636,-1.443776920240225e-08,1.0,5.865112689207308e-05,0.00016634046914987266,0.0,0.03125,0.3125,0.0,0.0625,0.0,0.0,0.0625,225,16,0.0,0.0,0,,,,,,0,0,0,0,0.0,0.0,0
