lr,target_update_epochs,epoch,post_approx_kl_vs_old,post_ratio_mean,post_ratio_std,post_ratio_min,post_ratio_max,post_clip_fraction,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate,rule_agreement,selected_action_logit_change_mean,prior_top1_logit_change_mean,positive_adv_selected_logit_change_mean,negative_adv_selected_logit_change_mean
3e-05,1,1,0.06410244852304459,0.7498297095298767,0.15055860579013824,0.6084997057914734,1.0000207424163818,0.7408804893493652,0.000123489968245849,0.0002811468148138374,0.0,1.0,-1.333503291789384e-06,-1.1387741096768877e-06,-1.030615862873674e-06,-3.1987003694666782e-06
3e-05,4,1,0.06410244852304459,0.7498297095298767,0.15055860579013824,0.6084997057914734,1.0000207424163818,0.7408804893493652,0.000123489968245849,0.0002811468148138374,0.0,1.0,-1.333503291789384e-06,-1.1387741096768877e-06,-1.030615862873674e-06,-3.1987003694666782e-06
3e-05,4,2,0.06410224735736847,0.7498300075531006,0.15055832266807556,0.6084995269775391,1.0000412464141846,0.7408804893493652,0.00011468010779935867,0.00029196764808148146,0.0,1.0,-8.664473170938436e-06,-8.276985681732185e-06,-8.062434062594548e-06,-1.2374579455354251e-05
3e-05,4,3,0.06410203129053116,0.7498303055763245,0.15055803954601288,0.6084994673728943,1.0000622272491455,0.7408804893493652,0.0001038849659380503,0.0003038263530470431,0.0,1.0,-1.8134720448870212e-05,-1.755404991854448e-05,-1.722992783470545e-05,-2.3686830900260247e-05
3e-05,4,4,0.06410183012485504,0.7498305439949036,0.1505577564239502,0.6084991693496704,1.0000829696655273,0.7408804893493652,9.533102274872363e-05,0.0003176603058818728,0.0,1.0,-2.600034531496931e-05,-2.5222552721970715e-05,-2.4784621928120032e-05,-3.3404361602151766e-05
3e-05,16,1,0.06410244852304459,0.7498297095298767,0.15055860579013824,0.6084997057914734,1.0000207424163818,0.7408804893493652,0.000123489968245849,0.0002811468148138374,0.0,1.0,-1.333503291789384e-06,-1.1387741096768877e-06,-1.030615862873674e-06,-3.1987003694666782e-06
3e-05,16,2,0.06410224735736847,0.7498300075531006,0.15055832266807556,0.6084995269775391,1.0000412464141846,0.7408804893493652,0.00011468010779935867,0.00029196764808148146,0.0,1.0,-8.664473170938436e-06,-8.276985681732185e-06,-8.062434062594548e-06,-1.2374579455354251e-05
3e-05,16,3,0.06410203129053116,0.7498303055763245,0.15055803954601288,0.6084994673728943,1.0000622272491455,0.7408804893493652,0.0001038849659380503,0.0003038263530470431,0.0,1.0,-1.8134720448870212e-05,-1.755404991854448e-05,-1.722992783470545e-05,-2.3686830900260247e-05
3e-05,16,4,0.06410183012485504,0.7498305439949036,0.1505577564239502,0.6084991693496704,1.0000829696655273,0.7408804893493652,9.533102274872363e-05,0.0003176603058818728,0.0,1.0,-2.600034531496931e-05,-2.5222552721970715e-05,-2.4784621928120032e-05,-3.3404361602151766e-05
3e-05,16,5,0.06410161405801773,0.7498308420181274,0.1505574733018875,0.6084990501403809,1.0001041889190674,0.7408804893493652,9.080221207113937e-05,0.00033490260830149055,0.0,1.0,-3.089199890382588e-05,-2.991546534758527e-05,-2.935345401056111e-05,-4.016363527625799e-05
3e-05,16,6,0.06410139054059982,0.7498312592506409,0.15055717527866364,0.6084989309310913,1.0001256465911865,0.7408804893493652,8.936643280321732e-05,0.00035445246612653136,0.0,1.0,-3.395830208319239e-05,-3.277870928286575e-05,-3.2081021345220506e-05,-4.512385930866003e-05
