normalize_advantages,lr,target_update_epochs,actor_only,entropy_coef,epoch,total_loss,policy_loss,actor_grad_norm_total,policy_mlp_final_grad_norm,neural_delta_abs_mean,neural_delta_abs_max,top1_action_changed_rate
True,0.0003,16,True,0.0,1,0.07018711417913437,0.07018711417913437,0.004112648987534271,0.004112639301991412,0.0002544618328101933,0.0008804129320196807,0.0
True,0.0003,16,True,0.0,2,0.07018169015645981,0.07018169015645981,0.003986226307748315,0.003985994267579903,0.0005162669694982469,0.0018329808954149485,0.0
True,0.0003,16,True,0.0,3,0.07017539441585541,0.07017539441585541,0.004287756424391192,0.004286860994299634,0.0008348433766514063,0.002919545164331794,0.0
True,0.0003,16,True,0.0,4,0.07016781717538834,0.07016781717538834,0.004688006187063549,0.004686003917498744,0.0011674455599859357,0.004100377671420574,0.0
True,0.0003,16,True,0.0,5,0.07015880197286606,0.07015880197286606,0.00514535186939183,0.005141787943072528,0.0015345857245847583,0.005406319163739681,0.0
True,0.0003,16,True,0.0,6,0.07014820724725723,0.07014820724725723,0.005650019862435251,0.005644380235281192,0.0019480694318190217,0.006857278291136026,0.0
True,0.0003,16,True,0.0,7,0.07013584673404694,0.07013584673404694,0.006199057948576261,0.006190773868361755,0.0023911783937364817,0.00844205729663372,0.0
True,0.0003,16,True,0.0,8,0.07012151926755905,0.07012151926755905,0.006793661304981654,0.0067820701720983,0.002889517229050398,0.01020194124430418,0.0
True,0.0003,16,True,0.0,9,0.07010499387979507,0.07010499387979507,0.0074371341679037245,0.0074214790695077,0.0034377393312752247,0.012127652764320374,0.0
True,0.0003,16,True,0.0,10,0.0700860545039177,0.0700860545039177,0.008131077523914239,0.00811049809099585,0.004022304899990559,0.014245614409446716,0.0
True,0.0003,16,True,0.0,11,0.07006441056728363,0.07006441056728363,0.008879066662063487,0.008852603163068918,0.004642885643988848,0.016581762582063675,0.0
True,0.0003,16,True,0.0,12,0.0700397938489914,0.0700397938489914,0.009683188926563035,0.00964966336056537,0.005296152085065842,0.019113784655928612,0.0
True,0.0003,16,True,0.0,13,0.07001182436943054,0.07001182436943054,0.010550966355400246,0.010508982097400883,0.005999858491122723,0.02187151275575161,0.0
True,0.0003,16,True,0.0,14,0.06998006254434586,0.06998006254434586,0.01149015050441029,0.011438152043362106,0.006757945287972689,0.024886399507522583,0.0
True,0.0003,16,True,0.0,15,0.06994404643774033,0.06994404643774033,0.012508136213374287,0.012444266339735867,0.007574544288218021,0.028188634663820267,0.0
True,0.0003,16,True,0.0,16,0.06990329176187515,0.06990329176187515,0.013609343905692389,0.013531638868639362,0.008438286371529102,0.03179306909441948,0.0
True,0.0003,16,True,0.001,1,0.06876266747713089,0.07018711417913437,0.004094767595762299,0.004094757908012087,0.0002893578785005957,0.0009173498838208616,0.0
True,0.0003,16,True,0.001,2,0.06875726580619812,0.07018169015645981,0.0039687429180559,0.0039685114469169116,0.0005750522832386196,0.0018963455222547054,0.0
True,0.0003,16,True,0.001,3,0.06875098496675491,0.07017538696527481,0.004269408805840894,0.004268515203883417,0.0009179873741231859,0.003008057363331318,0.0
True,0.0003,16,True,0.001,4,0.06874344497919083,0.07016781717538834,0.004668650381447205,0.004666652644791507,0.0013031747657805681,0.004243380855768919,0.0
True,0.0003,16,True,0.001,5,0.06873445957899094,0.07015880197286606,0.005124924535875983,0.005121369954930939,0.0017174103995785117,0.0055978503078222275,0.0
