config_id,rerun_config_id,source_config_id,source_report,ablation_profile,opponent_mode,rule_kl_coef,entropy_coef,lr,normalize_advantages,update_epochs,value_coef,rank_coef
0,0,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.0,0.0,0.0003,True,1,0.5,0.05
1,1,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.0,0.0,0.001,True,1,0.5,0.05
2,2,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.0,0.005,0.0003,True,1,0.5,0.05
3,3,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.0,0.005,0.001,True,1,0.5,0.05
4,4,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.001,0.0,0.0003,True,1,0.5,0.05
5,5,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.001,0.0,0.001,True,1,0.5,0.05
6,6,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.001,0.005,0.0003,True,1,0.5,0.05
7,7,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.001,0.005,0.001,True,1,0.5,0.05
8,8,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.0,0.0,0.0003,True,4,0.5,0.05
9,9,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.0,0.0,0.001,True,4,0.5,0.05
10,10,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.0,0.005,0.0003,True,4,0.5,0.05
11,11,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.0,0.005,0.001,True,4,0.5,0.05
12,12,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.001,0.0,0.0003,True,4,0.5,0.05
13,13,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.001,0.0,0.001,True,4,0.5,0.05
14,14,93,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun,small,rulebase,0.001,0.005,0.0003,True,4,0.5,0.05
