decision,step_id,actor,selected,legal_actions
0,0,0,打1m,打1m | 打3m | 打4m | 打5p | 打5s | 打6s | 打7s | 打8m | 打9m | 打9p | 打发 | 打北 | 打南
1,1,1,过,过
2,2,2,过,过
3,3,3,过,过
4,4,1,打2p,打2m | 打2p | 打3s | 打4m | 打5p | 打5s | 打6s | 打7m | 打8m | 打8p | 打8s | 打9m | 打中 | 打白
5,5,2,过,"CHI 2p consumed=[1p,3p] from P1 | 过"
6,6,3,过,过
7,7,0,过,过
8,8,2,打3s,打1p | 打2p | 打3p | 打3s | 打4m | 打6m | 打6p | 打6s | 打7p | 打7s | 打8p | 打9m | 打9s | 打西
9,9,3,过,过
10,10,0,过,过
11,11,1,过,过
12,12,3,打北,打1s | 打3m | 打3p | 打4p | 打5p | 打6m | 打8s | 打9p | 打东 | 打北 | 打西
13,13,0,过,过
14,14,1,过,过
15,15,2,过,过
16,16,0,打9p,打3m | 打4m | 打5p | 打5s | 打6p | 打6s | 打7s | 打8m | 打9m | 打9p | 打发 | 打北 | 打南
17,17,1,过,过
18,18,2,过,过
19,19,3,过,过
20,20,1,打2p,打2m | 打2p | 打3s | 打4m | 打5p | 打5s | 打6s | 打7m | 打8m | 打8p | 打8s | 打9m | 打中 | 打白
21,21,2,过,"CHI 2p consumed=[1p,3p] from P1 | 过"
22,22,3,过,过
23,23,0,过,过
24,24,2,打1m,打1m | 打1p | 打2p | 打3p | 打4m | 打6m | 打6p | 打6s | 打7p | 打7s | 打8p | 打9m | 打9s | 打西
25,25,3,过,过
26,26,0,过,过
27,27,1,过,过
28,28,3,打西,打1s | 打3m | 打3p | 打4p | 打5p | 打6m | 打7p | 打8s | 打9p | 打东 | 打西
29,29,0,过,过
30,30,1,过,过
31,31,2,过,过
32,32,0,打4s,打3m | 打4m | 打4s | 打5p | 打5s | 打6p | 打6s | 打7s | 打8m | 打9m | 打发 | 打北 | 打南
33,33,1,过,"CHI 4s consumed=[3s,5s] from P0 | CHI 4s consumed=[5s,6s] from P0 | 过"
34,34,2,过,过
35,35,3,过,过
36,36,1,打5p,打2m | 打3s | 打4m | 打5p | 打5s | 打6s | 打7m | 打8m | 打8p | 打8s | 打9m | 打中 | 打发 | 打白
37,37,2,过,"CHI 5p consumed=[6p,7p] from P1 | 过"
