actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,support_policy_mode,teacher_confidence_gate,teacher_contract_version,teacher_entropy_max,teacher_margin_min,teacher_prior_agree_min,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_version,terminal_reward_mean,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,topk,3,1.6580476799988717,1.25,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/policy_final.pt,e97a4bd7175a368d187ab6e1c200df6e5e01209ef7cd04f1b0e3b048e55a4cf6,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_movement_quality_gate/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/config.json,627,0.0,0.0,0.0,0.75,topk,3,,0,0.0,3,0.006,93,rulebase,zero,0,534,tempered_current_logits,0,-0.9831196530298754,0.0,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.17145135566188197,10.0,teacher-ce,3,3,0.0,0.75,0
0.75,topk,3,1.6263660594006069,1.25,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/policy_final.pt,e97a4bd7175a368d187ab6e1c200df6e5e01209ef7cd04f1b0e3b048e55a4cf6,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_movement_quality_gate/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/config.json,280,0.0,0.0,0.0,0.75,topk,3,,0,0.0,3,0.006,43,rulebase,zero,0,237,tempered_current_logits,0,-0.9669622489384242,0.0,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.2732142857142857,10.0,teacher-ce,3,3,0.0,0.75,0
0.75,topk,3,1.5640207565494724,1.25,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/policy_final.pt,e97a4bd7175a368d187ab6e1c200df6e5e01209ef7cd04f1b0e3b048e55a4cf6,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_movement_quality_gate/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/config.json,248,0.0,0.0,0.0,0.75,topk,3,,0,0.0,3,0.006,39,rulebase,zero,0,209,tempered_current_logits,0,-0.963658036243531,0.0,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.2399193548387097,10.0,teacher-ce,3,3,0.0,0.75,0
0.75,topk,3,2.5833396911621094,1.25,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/policy_final.pt,e97a4bd7175a368d187ab6e1c200df6e5e01209ef7cd04f1b0e3b048e55a4cf6,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_movement_quality_gate/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/config.json,1,0.0,0.0,0.0,0.75,topk,3,,0,0.0,3,0.006,0,rulebase,zero,0,1,tempered_current_logits,0,-0.8806896209716797,0.0,0.25,keqingrl_rule_score_scale_v1,4,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,1.0,10.0,teacher-ce,3,3,0.0,0.75,0
0.75,topk,3,1.2229317447248225,1.25,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/policy_final.pt,e97a4bd7175a368d187ab6e1c200df6e5e01209ef7cd04f1b0e3b048e55a4cf6,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_movement_quality_gate/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/config.json,621,0.0,0.0,0.0,0.75,topk,3,,1,0.0,3,0.006,86,rulebase,zero,0,535,tempered_current_logits,0,-0.5484391363538598,0.0,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.24396135265700483,10.0,teacher-ce,3,3,0.0,0.75,0
0.75,topk,3,1.1579982895603458,1.25,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/policy_final.pt,e97a4bd7175a368d187ab6e1c200df6e5e01209ef7cd04f1b0e3b048e55a4cf6,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_movement_quality_gate/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/config.json,313,0.0,0.0,0.0,0.75,topk,3,,1,0.0,3,0.006,62,rulebase,zero,0,251,tempered_current_logits,0,-0.5265387592795557,0.0,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.35303514376996803,10.0,teacher-ce,3,3,0.0,0.75,0
0.75,topk,3,1.1611966811998309,1.25,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/policy_final.pt,e97a4bd7175a368d187ab6e1c200df6e5e01209ef7cd04f1b0e3b048e55a4cf6,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_movement_quality_gate/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/config.json,261,0.0,0.0,0.0,0.75,topk,3,,1,0.0,3,0.006,38,rulebase,zero,0,223,tempered_current_logits,0,-0.5351722453974216,0.0,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.36398467432950193,10.0,teacher-ce,3,3,0.0,0.75,0
0.75,topk,3,1.630954310297966,1.25,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/policy_final.pt,e97a4bd7175a368d187ab6e1c200df6e5e01209ef7cd04f1b0e3b048e55a4cf6,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_movement_quality_gate/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/config.json,4,0.0,0.0,0.0,0.75,topk,3,,1,0.0,3,0.006,0,rulebase,zero,0,4,tempered_current_logits,0,0.0406937450170517,0.0,0.25,keqingrl_rule_score_scale_v1,4,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.625,10.0,teacher-ce,3,3,0.0,0.75,0
0.75,topk,3,0.2246614247560501,1.25,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/policy_final.pt,e97a4bd7175a368d187ab6e1c200df6e5e01209ef7cd04f1b0e3b048e55a4cf6,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_movement_quality_gate/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/config.json,1,0.0,0.0,0.0,0.75,topk,3,,1,0.0,3,0.006,0,rulebase,zero,0,1,tempered_current_logits,0,-1.544142246246338,0.0,0.25,keqingrl_rule_score_scale_v1,6,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,-1.5,10.0,teacher-ce,3,3,0.0,0.75,0
0.75,topk,3,1.2855656208055446,1.25,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/policy_final.pt,e97a4bd7175a368d187ab6e1c200df6e5e01209ef7cd04f1b0e3b048e55a4cf6,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",tempered_ratio_movement_quality_gate/rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_config_000/config.json,708,0.0,0.0,0.0,0.75,topk,3,,2,0.0,3,0.006,89,rulebase,zero,0,619,tempered_current_logits,0,-0.4701292922267806,0.0,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,False,keqingrl_topk_teacher_v1,1000000000.0,0.0,0.0,mortal-action-q,topk_distribution,1.0,3,mortal_action_teacher_v1,0.355225988700565,10.0,teacher-ce,3,3,0.0,0.75,0
