actor,control_action_types,episode_id,events_tail_json,extra_mortal_action_ids_json,hand_json,last_discard_json,legal_action_count,legal_action_keys_json,legal_action_types_json,mismatch_kind,missing_legal_keys_json,missing_legal_types_json,mortal_mask_true_ids_json,pilot_config_id,replay_hint,source_action_ids_json,step_index
0,"PASS,RON,PON,CHI",105919ca,[],[42],"""""","""""",2,"[""5|tile=29|consumed=29,29|from=2|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_imitation_train_20260429_source93_step20000_cfg3_iter8/replays --episode-index 0 --seed-base 202604300000 --torch-seed 202604300000 # pilot_config_id=0,"[[41],[45]]",174
0,"PASS,RON,PON,CHI",6796dc09,[],[42],"""""","""""",2,"[""5|tile=0|consumed=0,0|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_imitation_train_20260429_source93_step20000_cfg3_iter8/replays --episode-index 0 --seed-base 202604300000 --torch-seed 202604300000 # pilot_config_id=0,"[[41],[45]]",7
0,"PASS,RON,PON,CHI",4d64827f,[],[42],"""""","""""",2,"[""5|tile=33|consumed=33,33|from=2|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_imitation_train_20260429_source93_step20000_cfg3_iter8/replays --episode-index 0 --seed-base 202604300000 --torch-seed 202604300000 # pilot_config_id=0,"[[41],[45]]",148
0,"PASS,RON,PON,CHI",4d64827f,[],[42],"""""","""""",2,"[""5|tile=16|consumed=16,16|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_imitation_train_20260429_source93_step20000_cfg3_iter8/replays --episode-index 0 --seed-base 202604300000 --torch-seed 202604300000 # pilot_config_id=0,"[[41],[45]]",209
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",969666d6,[],[42],"""""","""""",7,"[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=12|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=1"",""0|tile=26|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[4,5,10,12,16,25,26,42]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_imitation_train_20260429_source93_step20000_cfg3_iter8/replays --episode-index 0 --seed-base 202604300000 --torch-seed 202604300000 # pilot_config_id=0,"[[10],[12],[4,34],[5],[16],[25],[26]]",187
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",969666d6,[],[42],"""""","""""",7,"[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=22|consumed=|from=-1|flags=1"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=26|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[4,5,10,16,22,25,26,42]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_imitation_train_20260429_source93_step20000_cfg3_iter8/replays --episode-index 0 --seed-base 202604300000 --torch-seed 202604300000 # pilot_config_id=0,"[[10],[4,34],[22,36],[5],[16],[25],[26]]",203
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",969666d6,[],[42],"""""","""""",7,"[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=2|consumed=|from=-1|flags=1"",""0|tile=22|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=26|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[2,5,10,16,22,25,26,42]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_imitation_train_20260429_source93_step20000_cfg3_iter8/replays --episode-index 0 --seed-base 202604300000 --torch-seed 202604300000 # pilot_config_id=0,"[[10],[2],[22,36],[5],[16],[25],[26]]",219
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",969666d6,[],[42],"""""","""""",7,"[""0|tile=0|consumed=|from=-1|flags=1"",""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=22|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=26|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[0,5,10,16,22,25,26,42]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_imitation_train_20260429_source93_step20000_cfg3_iter8/replays --episode-index 0 --seed-base 202604300000 --torch-seed 202604300000 # pilot_config_id=0,"[[0],[10],[22,36],[5],[16],[25],[26]]",235
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",969666d6,[],[42],"""""","""""",7,"[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=2|consumed=|from=-1|flags=1"",""0|tile=22|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=26|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[2,5,10,16,22,25,26,42]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_imitation_train_20260429_source93_step20000_cfg3_iter8/replays --episode-index 0 --seed-base 202604300000 --torch-seed 202604300000 # pilot_config_id=0,"[[10],[2],[22,36],[5],[16],[25],[26]]",251
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",969666d6,[],[42],"""""","""""",7,"[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=1"",""0|tile=22|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=25|consumed=|from=-1|flags=0"",""0|tile=26|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[5,10,16,19,22,25,26,42]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_imitation_train_20260429_source93_step20000_cfg3_iter8/replays --episode-index 0 --seed-base 202604300000 --torch-seed 202604300000 # pilot_config_id=0,"[[10],[19],[22,36],[5],[16],[25],[26]]",267
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",415473dd,[],[44],"""""","""""",13,"[""0|tile=0|consumed=|from=-1|flags=0"",""0|tile=1|consumed=|from=-1|flags=0"",""0|tile=11|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0"",""0|tile=24|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=17|consumed=|from=-1|flags=0"",""0|tile=33|consumed=|from=-1|flags=1"",""0|tile=32|consumed=|from=-1|flags=0"",""0|tile=30|consumed=|from=-1|flags=0"",""0|tile=31|consumed=|from=-1|flags=0"",""0|tile=28|consumed=|from=-1|flags=0"",""0|tile=29|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[0,1,8,11,17,20,24,28,29,30,31,32,33,44]",0,uv run python scripts/export_keqingrl_mjai_replay.py --candidate-summary reports/keqingrl_mortal_action_q_candidate_cfg3_fresh_seedshift_20260429_source93_step20000/checkpoint_summary.csv --source-config-ids 93 --output-dir reports/keqingrl_mortal_action_q_imitation_train_20260429_source93_step20000_cfg3_iter8/replays --episode-index 0 --seed-base 202604300000 --torch-seed 202604300000 # pilot_config_id=0,"[[0],[1],[11],[20],[24],[8],[17],[33],[32],[30],[31],[28],[29]]",0
