actor,control_action_types,episode_id,events_tail_json,extra_mortal_action_ids_json,hand_json,iteration,last_discard_json,legal_action_count,legal_action_keys_json,legal_action_types_json,mismatch_kind,missing_legal_keys_json,missing_legal_types_json,mortal_mask_true_ids_json,pilot_config_id,replay_hint,rollout_seed,source_action_ids_json,step_index,torch_seed
3,"PASS,RON,PON,CHI",d2a50d34,[],[42],"""""",0,"""""",2,"[""5|tile=2|consumed=2,2|from=1|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",34,202604330000
3,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",d2a50d34,[],[42],"""""",0,"""""",10,"[""0|tile=9|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=2|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=1"",""0|tile=3|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[2,3,4,9,14,15,19,20,23,32,42]",0,,202604330000,"[[9],[19],[2],[20],[3],[4,34],[14],[23],[15],[32]]",51,202604330000
3,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",d2a50d34,[],[42],"""""",0,"""""",10,"[""0|tile=9|consumed=|from=-1|flags=0"",""0|tile=1|consumed=|from=-1|flags=1"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=2|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0"",""0|tile=3|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[1,2,3,4,9,14,15,19,20,32,42]",0,,202604330000,"[[9],[1],[19],[2],[20],[3],[4,34],[14],[15],[32]]",67,202604330000
3,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",d2a50d34,[],[42],"""""",0,"""""",10,"[""0|tile=9|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=2|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0"",""0|tile=3|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=1"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[2,3,4,6,9,14,15,19,20,32,42]",0,,202604330000,"[[9],[19],[2],[20],[3],[4,34],[14],[6],[15],[32]]",83,202604330000
3,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",d2a50d34,[],[42],"""""",0,"""""",10,"[""0|tile=9|consumed=|from=-1|flags=0"",""0|tile=2|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0"",""0|tile=3|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=22|consumed=|from=-1|flags=1"",""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[2,3,4,6,9,14,15,20,22,32,42]",0,,202604330000,"[[9],[2],[20],[3],[4,34],[22,36],[14],[6],[15],[32]]",99,202604330000
3,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",d2a50d34,[],[42],"""""",0,"""""",10,"[""0|tile=9|consumed=|from=-1|flags=0"",""0|tile=2|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0"",""0|tile=3|consumed=|from=-1|flags=1"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=22|consumed=|from=-1|flags=0"",""0|tile=14|consumed=|from=-1|flags=0"",""0|tile=6|consumed=|from=-1|flags=0"",""0|tile=15|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[2,3,4,6,9,14,15,20,22,32,42]",0,,202604330000,"[[9],[2],[20],[3],[4,34],[22,36],[14],[6],[15],[32]]",115,202604330000
2,"PASS,RON,PON,CHI",0927e315,[],[42],"""""",0,"""""",2,"[""5|tile=28|consumed=28,28|from=3|flags=0"",""9|tile=-1|consumed=|from=-1|flags=0""]","[""PON"",""PASS""]",extra_mortal,[],[],"[41,42,45]",0,,202604330000,"[[41],[45]]",141,202604330000
1,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",0927e315,[],[42],"""""",0,"""""",9,"[""0|tile=3|consumed=|from=-1|flags=0"",""0|tile=13|consumed=|from=-1|flags=1"",""0|tile=22|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=32|consumed=|from=-1|flags=0"",""0|tile=30|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[3,7,8,13,22,23,27,30,32,42]",0,,202604330000,"[[3],[13,35],[22,36],[23],[7],[8],[27],[32],[30]]",268,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",76f0326b,[],[42],"""""",0,"""""",10,"[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=2|consumed=|from=-1|flags=0"",""0|tile=20|consumed=|from=-1|flags=0"",""0|tile=21|consumed=|from=-1|flags=1"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=13|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=27|consumed=|from=-1|flags=0""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[2,4,8,10,13,16,20,21,23,27,42]",0,,202604330000,"[[10],[2],[20],[21],[4,34],[13,35],[23],[16],[8],[27]]",16,202604330000
0,"DISCARD,REACH_DISCARD,TSUMO,RYUKYOKU",76f0326b,[],[42],"""""",0,"""""",8,"[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=21|consumed=|from=-1|flags=0"",""0|tile=4|consumed=|from=-1|flags=0"",""0|tile=13|consumed=|from=-1|flags=0"",""0|tile=23|consumed=|from=-1|flags=0"",""0|tile=16|consumed=|from=-1|flags=0"",""0|tile=8|consumed=|from=-1|flags=0"",""0|tile=29|consumed=|from=-1|flags=1""]","[""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD"",""DISCARD""]",extra_mortal,[],[],"[4,8,10,13,16,21,23,29,42]",0,,202604330000,"[[10],[21],[4,34],[13,35],[23],[16],[8],[29]]",52,202604330000
