action_identity_contract_pass,diagnostic_only_outcome_note,legal_agari_row_count,legal_owner,legal_owner_pass,legal_terminal_row_count,mortal_action_q_extra_mortal_count,mortal_action_q_fail_closed_count,mortal_action_q_mapping_available_count,mortal_action_q_mapping_available_rate,mortal_action_q_mapping_row_count,mortal_action_q_missing_legal_count,mortal_teacher_checkpoint_present,opportunity_gate_enabled,opportunity_gate_pass,outcome_gate_enabled,pilot_config_id,prepared_legal_agari_row_count,prepared_legal_terminal_row_count,qualified_for_eval,qualified_for_eval_reason,score_changed_episode_count,selected_agari_count,selected_ron_count,selected_tsumo_count,teacher_contract_role,teacher_source
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,16,keqing_core.enumerate_public_legal_action_specs,True,16,15,0,603,1.0,603,0,True,True,True,False,0,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",30,16,9,7,primary_action_q_teacher,mortal-action-q
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,21,keqing_core.enumerate_public_legal_action_specs,True,21,3,0,539,1.0,539,0,True,True,True,False,1,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",32,21,17,4,primary_action_q_teacher,mortal-action-q
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,16,keqing_core.enumerate_public_legal_action_specs,True,16,3,0,585,1.0,585,0,True,True,True,False,2,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",32,16,13,3,primary_action_q_teacher,mortal-action-q
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,17,keqing_core.enumerate_public_legal_action_specs,True,17,5,0,605,1.0,605,0,True,True,True,False,3,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",29,17,15,2,primary_action_q_teacher,mortal-action-q
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,22,keqing_core.enumerate_public_legal_action_specs,True,22,9,0,547,1.0,547,0,True,True,True,False,4,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",32,22,16,6,primary_action_q_teacher,mortal-action-q
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,14,keqing_core.enumerate_public_legal_action_specs,True,14,4,0,612,1.0,612,0,True,True,True,False,5,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",32,14,12,2,primary_action_q_teacher,mortal-action-q
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,18,keqing_core.enumerate_public_legal_action_specs,True,18,3,0,585,1.0,585,0,True,True,True,False,6,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",30,18,16,2,primary_action_q_teacher,mortal-action-q
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,22,keqing_core.enumerate_public_legal_action_specs,True,22,10,0,575,1.0,575,0,True,True,True,False,7,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",32,22,12,10,primary_action_q_teacher,mortal-action-q
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,19,keqing_core.enumerate_public_legal_action_specs,True,19,8,0,578,1.0,578,0,True,True,True,False,8,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",30,19,15,4,primary_action_q_teacher,mortal-action-q
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,19,keqing_core.enumerate_public_legal_action_specs,True,19,15,0,559,1.0,559,0,True,True,True,False,9,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",30,19,13,6,primary_action_q_teacher,mortal-action-q
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,19,keqing_core.enumerate_public_legal_action_specs,True,19,6,0,578,1.0,578,0,True,True,True,False,10,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",32,19,12,7,primary_action_q_teacher,mortal-action-q
True,outcome counters do not gate unless --terminal-coverage-outcome-gate is enabled,26,keqing_core.enumerate_public_legal_action_specs,True,26,4,0,477,1.0,477,0,True,True,True,False,11,0,0,False,"train_movement_quality_gate_failed,fresh_validation_gate_failed",32,26,22,4,primary_action_q_teacher,mortal-action-q
