action_canonical_key,action_index,action_type,actor,actor_update_dropped,actor_update_keep,actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,episode_id,final_rank,iteration,legal_count,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,old_log_prob,old_value,opponent_mode,outside_support_delta_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,support_policy_mode,teacher_best_action_canonical_key,teacher_best_action_index,teacher_best_prior_rank,teacher_confidence,teacher_confidence_entropy_pass,teacher_confidence_gate,teacher_confidence_gate_keep,teacher_confidence_margin_pass,teacher_confidence_prior_agree_pass,teacher_contract_version,teacher_entropy,teacher_entropy_max,teacher_margin_min,teacher_margin_top1_to_second,teacher_prior_agree,teacher_prior_agree_min,teacher_prior_topk_action_indices_json,teacher_prior_topk_actions_json,teacher_prior_topk_logits_json,teacher_rule_top1_rank,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_topk_probs_json,teacher_topk_row_valid,teacher_topk_scores_json,teacher_version,terminal_reward,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold
0|tile=0|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,-0.5829830765724182,0.39947789907455444,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,c6158d88,0,0,12,0.0,3,0.001,-1.3407729864120483,-0.1358184814453125,rulebase,zero,0,3.0,0.6472995281219482,tempered_current_logits,0,0.26365941762924194,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03222714364528656,2,93,0,support-only-topk,0|tile=0|consumed=|from=-1|flags=0,0,2,0.8709753073733582,True,False,True,True,True,keqingrl_topk_teacher_v1,0.1417481154203415,1000000000.0,0.0,4.172725677490234,False,0.0,"[10,0,1]","[""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=0|consumed=|from=-1|flags=0"",""0|tile=10|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",3.0,mortal-action-q,topk_distribution,1.0,3,"[0.01178584,0.97321665,0.01499746]",True,"[-3.86088681,0.55282086,-3.61990476]",mortal_action_teacher_v1,1.0,1.0,teacher-ce,3,1,0.0,0.75
0|tile=10|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,-0.49692487716674805,0.4407464265823364,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c6158d88,0,0,12,0.0,3,0.001,-0.7406497001647949,-0.15504969656467438,rulebase,zero,0,3.000999927520752,0.6475072503089905,tempered_current_logits,0,0.28569674491882324,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,True,0.6475072503089905,1,93,16,support-only-topk,0|tile=10|consumed=|from=-1|flags=0,0,1,0.9776238364040648,True,False,True,True,True,keqingrl_topk_teacher_v1,0.02458272874355316,1000000000.0,0.0,5.666396141052246,True,0.0,"[0,1,2]","[""0|tile=10|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=21|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.99638832,0.00344782,0.00016388]",True,"[-0.00461853,-5.67101479,-8.71739769]",mortal_action_teacher_v1,1.0,1.0,teacher-ce,3,1,0.0,0.75
0|tile=19|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,topk,3,-0.4481525421142578,0.4641348123550415,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c6158d88,0,0,12,0.0,3,0.001,-1.3408130407333374,-0.15523134171962738,rulebase,zero,0,3.000999927520752,0.6475072503089905,tempered_current_logits,0,0.30890345573425293,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03220526874065399,2,93,32,support-only-topk,0|tile=0|consumed=|from=-1|flags=1,0,1,0.9956849466957826,True,False,True,True,True,keqingrl_topk_teacher_v1,0.004740570671856403,1000000000.0,0.0,7.778547763824463,True,0.0,"[0,1,2]","[""0|tile=0|consumed=|from=-1|flags=1"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=21|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.99947649,0.0004184,0.00010506]",True,"[-0.06969893,-7.84824657,-9.23017788]",mortal_action_teacher_v1,1.0,1.0,teacher-ce,3,1,0.0,0.75
0|tile=0|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,-0.4770057499408722,0.4502984881401062,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,c6158d88,0,0,12,0.0,3,0.001,-1.3407819271087646,-0.11888007819652557,rulebase,zero,0,3.0,0.6472995281219482,tempered_current_logits,0,0.33141839504241943,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03222714364528656,2,93,48,support-only-topk,0|tile=19|consumed=|from=-1|flags=0,1,3,0.4923357944614418,True,False,True,True,True,keqingrl_topk_teacher_v1,0.5577261447906494,1000000000.0,0.0,1.2472259998321533,False,0.0,"[10,0,1]","[""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=0|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",3.0,mortal-action-q,topk_distribution,1.0,3,"[0.00458325,0.22215781,0.77325892]",True,"[-4.30879879,-0.42781898,0.81940699]",mortal_action_teacher_v1,1.0,1.0,teacher-ce,3,1,0.0,0.75
0|tile=19|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,topk,3,-0.2616140842437744,0.5535878539085388,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,c6158d88,0,0,11,0.0,3,0.001,-1.3407515287399292,-0.19449004530906677,rulebase,zero,0,3.0,0.6686332821846008,tempered_current_logits,0,0.35909780859947205,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.033289290964603424,2,93,64,support-only-topk,0|tile=19|consumed=|from=-1|flags=1,0,2,0.2817154356613426,True,False,True,True,True,keqingrl_topk_teacher_v1,0.7891162633895874,1000000000.0,0.0,0.6282860636711121,False,0.0,"[9,0,1]","[""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=1"",""0|tile=21|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",2.0,mortal-action-q,topk_distribution,1.0,3,"[0.33386204,0.62578934,0.04034862]",True,"[-0.22393702,0.40434903,-2.33710766]",mortal_action_teacher_v1,1.0,1.0,teacher-ce,3,1,0.0,0.75
0|tile=11|consumed=|from=-1|flags=1,1,0,0,False,True,0.75,topk,3,-0.10174993425607681,0.6302494406700134,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c6158d88,0,0,12,0.0,3,0.001,-1.3409744501113892,-0.23963914811611176,rulebase,zero,0,3.0,0.6472995281219482,tempered_current_logits,0,0.3906102776527405,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03219493851065636,3,93,80,support-only-topk,0|tile=19|consumed=|from=-1|flags=0,0,2,0.3723899252460007,True,False,True,True,True,keqingrl_topk_teacher_v1,0.6895001530647278,1000000000.0,0.0,0.575145959854126,False,0.0,"[10,0,1]","[""0|tile=27|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=11|consumed=|from=-1|flags=1""]","[0.0,-3.0,-3.00099993]",3.0,mortal-action-q,topk_distribution,1.0,3,"[0.00674971,0.63563025,0.35762003]",True,"[-3.90236831,0.64274895,0.06760298]",mortal_action_teacher_v1,1.0,1.0,teacher-ce,3,1,0.0,0.75
0|tile=21|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,topk,3,0.025706302374601364,0.6913700699806213,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c6158d88,0,0,11,0.0,3,0.001,-1.3408637046813965,-0.266191303730011,rulebase,zero,0,3.000999927520752,0.6688328385353088,tempered_current_logits,0,0.42517876625061035,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03326594829559326,2,93,96,support-only-topk,0|tile=19|consumed=|from=-1|flags=0,0,1,0.9592311184627144,True,False,True,True,True,keqingrl_topk_teacher_v1,0.04478919506072998,1000000000.0,0.0,5.579345703125,True,0.0,"[0,1,2]","[""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=21|consumed=|from=-1|flags=0"",""0|tile=22|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.99330384,0.00294639,0.00374976]",True,"[0.49933594,-5.32112074,-5.08000994]",mortal_action_teacher_v1,1.0,1.0,teacher-ce,3,1,0.0,0.75
0|tile=19|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,0.09404004365205765,0.7241389751434326,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,c6158d88,0,0,11,0.0,3,0.001,-1.3407313823699951,-0.2627532482147217,rulebase,zero,0,3.0,0.668743908405304,tempered_current_logits,0,0.46138572692871094,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.03329479694366455,2,93,112,support-only-topk,0|tile=22|consumed=|from=-1|flags=0,1,3,0.2857787710447721,True,False,True,True,True,keqingrl_topk_teacher_v1,0.7846522331237793,1000000000.0,0.0,0.4249002933502197,False,0.0,"[4,0,1]","[""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=19|consumed=|from=-1|flags=0"",""0|tile=22|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",3.0,mortal-action-q,topk_distribution,1.0,3,"[0.02963133,0.38363013,0.58673847]",True,"[-2.15690255,0.4039439,0.82884419]",mortal_action_teacher_v1,1.0,1.0,teacher-ce,3,1,0.0,0.75
0|tile=22|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,0.05293944478034973,0.7044295072555542,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,c6158d88,0,0,11,0.0,3,0.001,-1.3407701253890991,-0.2078222930431366,rulebase,zero,0,3.0,0.6687660813331604,tempered_current_logits,0,0.4966072142124176,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,False,0.033295903354883194,2,93,128,support-only-topk,0|tile=22|consumed=|from=-1|flags=0,0,2,0.6531322253410111,True,False,True,True,True,keqingrl_topk_teacher_v1,0.3810732066631317,1000000000.0,0.0,2.30318021774292,False,0.0,"[3,0,1]","[""0|tile=7|consumed=|from=-1|flags=0"",""0|tile=22|consumed=|from=-1|flags=0"",""0|tile=5|consumed=|from=-1|flags=0""]","[0.0,-3.0,-3.00099993]",2.0,mortal-action-q,topk_distribution,1.0,3,"[0.08942071,0.89473933,0.01583996]",True,"[-1.19323945,1.10994089,-2.92405581]",mortal_action_teacher_v1,1.0,1.0,teacher-ce,3,1,0.0,0.75
0|tile=18|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,topk,3,0.4811723530292511,0.9097852110862732,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,c6158d88,0,0,11,0.0,3,0.001,-0.7406392097473145,-0.36768877506256104,rulebase,zero,0,3.000999927520752,0.6688328385353088,tempered_current_logits,0,0.5420964360237122,0.0,0.0,0.25,keqingrl_rule_score_scale_v1,True,0.6688328385353088,1,93,144,support-only-topk,0|tile=18|consumed=|from=-1|flags=1,0,1,0.32760680863401526,True,False,True,True,True,keqingrl_topk_teacher_v1,0.7386994361877441,1000000000.0,0.0,0.6117986440658569,True,0.0,"[0,1,2]","[""0|tile=18|consumed=|from=-1|flags=1"",""0|tile=5|consumed=|from=-1|flags=0"",""0|tile=14|consumed=|from=-1|flags=0""]","[0.0,-3.00099993,-3.00200009]",1.0,mortal-action-q,topk_distribution,1.0,3,"[0.6343379,0.02161339,0.34404868]",True,"[0.8052662,-2.57400274,0.19346753]",mortal_action_teacher_v1,1.0,1.0,teacher-ce,3,1,0.0,0.75
