decision,step_id,actor,selected,legal_actions
0,0,0,打1m,打1m | 打2p | 打2s | 打4s | 打6m | 打6p | 打8m | 打8p | 打8s | 打9s | 打东 | 打白
1,1,1,过,过
2,2,2,过,过
3,3,3,过,过
4,4,1,打3s,打2p | 打3s | 打4p | 打6s | 打7m | 打7p | 打北 | 打白 | 打西
5,5,2,过,过
6,6,3,过,过
7,7,0,过,过
8,8,2,打东,打1p | 打1s | 打3s | 打5m | 打7m | 打8m | 打9m | 打9p | 打9s | 打东 | 打发 | 打西
9,9,3,过,过
10,10,0,过,过
11,11,1,过,过
12,12,3,打中,打1s | 打2p | 打2s | 打3m | 打3p | 打4s | 打5p | 打5s | 打6m | 打7s | 打8s | 打中 | 打发
13,13,0,过,过
14,14,1,过,过
15,15,2,过,过
16,16,0,打2p,打2p | 打2s | 打4s | 打5s | 打6m | 打6p | 打8m | 打8p | 打8s | 打9s | 打东 | 打白
17,17,1,过,过
18,18,2,过,过
19,19,3,过,过
20,20,1,打4m,打2p | 打4m | 打4p | 打6s | 打7m | 打7p | 打北 | 打白 | 打西
21,21,2,过,过
22,22,3,过,过
23,23,0,过,过
24,24,2,打中,打1p | 打1s | 打3s | 打5m | 打7m | 打8m | 打9m | 打9p | 打9s | 打中 | 打发 | 打西
25,25,3,过,过
26,26,0,过,过
27,27,1,过,过
28,28,3,打发,打1p | 打1s | 打2p | 打2s | 打3m | 打3p | 打4s | 打5p | 打5s | 打6m | 打7s | 打8s | 打发
29,29,0,过,过
30,30,1,过,过
31,31,2,过,过
32,32,0,打2s,打1m | 打2s | 打4s | 打5s | 打6m | 打6p | 打8m | 打8p | 打8s | 打9s | 打东 | 打白
33,33,1,过,过
34,34,2,过,过
35,35,3,过,过
36,36,1,打3m,打2p | 打3m | 打4p | 打6s | 打7m | 打7p | 打北 | 打白 | 打西
37,37,2,过,过
38,38,3,过,过
39,39,0,过,过
40,40,2,打发,打1p | 打1s | 打2m | 打3s | 打5m | 打7m | 打8m | 打9m | 打9p | 打9s | 打发 | 打西
41,41,3,过,过
42,42,0,过,过
43,43,1,过,过
44,44,3,打3m,打1p | 打1s | 打2p | 打2s | 打3m | 打3p | 打4s | 打5m | 打5p | 打5s | 打6m | 打7s | 打8s
45,45,0,过,过
46,46,1,过,过
47,47,2,过,过
48,48,0,打1m,打1m | 打2s | 打4s | 打5s | 打6m | 打6p | 打8m | 打8p | 打8s | 打9s | 打东 | 打白
49,49,1,过,过
50,50,2,过,过
51,51,3,过,过
52,52,1,打4p,打2p | 打4p | 打5s | 打6s | 打7m | 打7p | 打北 | 打白 | 打西
53,53,2,过,过
54,54,3,过,过
55,55,0,过,过
56,56,2,打5m,打1m | 打1p | 打1s | 打2m | 打3s | 打5m | 打7m | 打8m | 打9m | 打9p | 打9s | 打西
57,57,3,过,过
58,58,0,过,过
59,59,1,过,过
60,60,3,打1s,打1p | 打1s | 打2p | 打2s | 打3p | 打4s | 打5m | 打5p | 打5p | 打5s | 打6m | 打7s | 打8s
61,61,0,过,过
62,62,1,过,过
63,63,2,过,过
64,64,0,打2s,打2s | 打4s | 打5s | 打6m | 打6p | 打8m | 打8p | 打8s | 打9s | 打东 | 打白
65,65,1,过,过
66,66,2,过,过
67,67,3,过,过
68,68,1,打4p,打2p | 打4p | 打5s | 打6s | 打7m | 打7p | 打北 | 打白 | 打西
69,69,2,过,过
70,70,3,过,过
71,71,0,过,过
72,72,2,打9p,打1m | 打1p | 打1s | 打2m | 打3s | 打7m | 打8m | 打8s | 打9m | 打9p | 打9s | 打西
73,73,3,过,过
74,74,0,过,过
75,75,1,过,过
76,76,3,打2s,打1p | 打2p | 打2s | 打3p | 打4s | 打5m | 打5p | 打5p | 打5s | 打6m | 打6p | 打7s | 打8s
77,77,0,过,过
78,78,1,过,过
79,79,2,过,过
80,80,0,打3p,打2s | 打3p | 打4s | 打5s | 打6m | 打6p | 打8m | 打8p | 打8s | 打9s | 打东 | 打白
81,81,1,过,过
82,82,2,过,过
83,83,3,过,过
84,84,1,打1s,打1s | 打2p | 打5s | 打6s | 打7m | 打7p | 打北 | 打白 | 打西
85,85,2,过,过
86,86,3,过,过
87,87,0,过,过
88,88,2,打9m,打1m | 打1p | 打1s | 打2m | 打3s | 打7m | 打8m | 打8s | 打9m | 打9s | 打西
89,89,3,过,过
90,90,0,过,过
91,91,1,过,过
92,92,3,打8m,打1p | 打2p | 打3p | 打4s | 打5m | 打5p | 打5p | 打5s | 打6m | 打6p | 打7s | 打8m | 打8s
93,93,0,过,过
94,94,1,过,过
95,95,2,过,过
96,96,0,打4s,打2s | 打4s | 打5s | 打6m | 打6p | 打8m | 打8p | 打8s | 打9s | 打东 | 打白
97,97,1,过,过
98,98,2,过,过
99,99,3,过,过
100,100,1,打5s,打2p | 打5s | 打6s | 打7m | 打7p | 打北 | 打白 | 打南 | 打西
101,101,2,过,过
102,102,3,过,过
103,103,0,过,过
104,104,2,打1s,打1m | 打1p | 打1s | 打2m | 打3p | 打3s | 打7m | 打8m | 打8s | 打9m | 打9s | 打西
105,105,3,过,过
106,106,0,过,过
107,107,1,过,过
108,108,3,打8m,打1p | 打2p | 打3p | 打4s | 打5m | 打5p | 打5p | 打5s | 打6m | 打6p | 打7s | 打8m | 打8s
109,109,0,过,过
110,110,1,过,过
111,111,2,过,过
112,112,0,打2s,打2s | 打5s | 打6m | 打6p | 打8m | 打8p | 打8s | 打9s | 打中 | 打东 | 打白
113,113,1,过,过
114,114,2,过,过
115,115,3,过,过
116,116,1,打5m,打2p | 打5m | 打6s | 打7m | 打7p | 打北 | 打白 | 打南 | 打西
117,117,2,过,过
118,118,3,过,过
119,119,0,过,过
120,120,2,打3s,打1m | 打1p | 打2m | 打3p | 打3s | 打5p | 打7m | 打8m | 打8s | 打9m | 打9s | 打西
121,121,3,过,过
122,122,0,过,过
123,123,1,过,过
124,124,3,打6p,打1p | 打2p | 打3p | 打3s | 打4s | 打5m | 打5p | 打5p | 打5s | 打6m | 打6p | 打7s | 打8s
125,125,0,过,过
126,126,1,过,过
127,127,2,过,过
128,128,0,打5s,打5s | 打6m | 打6p | 打8m | 打8p | 打8s | 打9s | 打中 | 打东 | 打北 | 打白
129,129,1,过,过
130,130,2,过,过
131,131,3,过,过
132,132,1,打7m,打2p | 打6s | 打7m | 打7p | 打8p | 打北 | 打白 | 打南 | 打西
133,133,2,过,过
134,134,3,过,过
135,135,0,过,过
136,136,2,打5p,打1m | 打1p | 打2m | 打3p | 打5p | 打7m | 打7s | 打8m | 打8s | 打9m | 打9s | 打西
137,137,3,过,过
138,138,0,过,过
139,139,1,过,过
140,140,3,打3p,打1p | 打2p | 打3p | 打3s | 打4s | 打5m | 打5p | 打5p | 打5s | 打6m | 打7s | 打8s
141,141,0,过,过
142,142,1,过,过
143,143,2,过,过
144,144,0,打1s,打1s | 打6m | 打6p | 打8m | 打8p | 打8s | 打9s | 打中 | 打东 | 打北 | 打白
145,145,1,过,过
146,146,2,过,过
147,147,3,过,过
148,148,1,打7s,打2p | 打6s | 打7p | 打7s | 打8p | 打北 | 打白 | 打南 | 打西
149,149,2,过,过
150,150,3,过,过
151,151,0,过,过
