actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,adaptive_recovery_enabled,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,entropy_coef,episodes,eval_episodes,eval_fourth_rate,eval_learner_deal_in_rate,eval_learner_win_rate,eval_mean_rank,eval_rank_pt,eval_scope,eval_seed_hash,eval_seed_registry_id,eval_skipped_reason,eval_strength_note,fallback_rate_fail_closed,final_actor_update_dropped_count,final_actor_update_dropped_non_top1_positive_advantage_count,final_actor_update_dropped_positive_advantage_count,final_actor_update_dropped_prior_margin_mean,final_actor_update_dropped_rate,final_actor_update_dropped_selected_prior_rank_mean,final_actor_update_kept_count,final_actor_update_kept_non_top1_positive_advantage_count,final_actor_update_kept_positive_advantage_count,final_actor_update_kept_prior_margin_mean,final_actor_update_kept_rate,final_actor_update_kept_selected_prior_rank_mean,final_advantage_max,final_advantage_mean,final_advantage_min,final_advantage_std,final_batch_size,final_mean_delta_needed_to_flip_top1,final_non_top1_positive_advantage_count,final_non_top1_selected_count,final_p10_delta_needed_to_flip_top1,final_p50_delta_needed_to_flip_top1,final_p90_delta_needed_to_flip_top1,final_positive_advantage_count,final_positive_advantage_non_top1_count,final_positive_advantage_top1_count,final_recovery_attempted_epochs,final_recovery_extra_epochs,final_recovery_pre_tempered_clip,final_recovery_pre_tempered_kl,final_recovery_pre_top1_changed,final_recovery_pre_untempered_clip,final_recovery_rejected_epochs,final_recovery_stop_reason,final_selected_prior_top1_rate,final_tempered_post_update_approx_kl,final_tempered_post_update_clip_fraction,final_tempered_post_update_low_rank_flip_penalty,final_tempered_post_update_policy_loss,final_tempered_post_update_rule_kl,final_tempered_post_update_weak_margin_flip_penalty,final_train_movement_quality_pass,final_untempered_post_changed_action_prior_rank_mean,final_untempered_post_changed_action_prior_rank_p50,final_untempered_post_changed_action_prior_rank_p90,final_untempered_post_changed_state_prior_margin_mean,final_untempered_post_changed_state_prior_margin_p50,final_untempered_post_changed_state_prior_margin_p90,final_untempered_post_changed_state_prior_top1_prob_mean,final_untempered_post_changed_state_selected_prior_prob_mean,final_untempered_post_changed_to_rank_ge5_rate,final_untempered_post_changed_to_top2_rate,final_untempered_post_changed_to_top3_rate,final_untempered_post_changed_to_top5_rate,final_untempered_post_effective_margin_to_flip_mean,final_untempered_post_effective_margin_to_flip_p50,final_untempered_post_effective_margin_to_flip_p90,final_untempered_post_neural_delta_abs_max,final_untempered_post_neural_delta_abs_mean,final_untempered_post_rule_agreement,final_untempered_post_scaled_prior_margin_mean,final_untempered_post_scaled_prior_margin_p50,final_untempered_post_top1_action_changed_rate,final_untempered_post_update_approx_kl,final_untempered_post_update_clip_fraction,forced_terminal_missed_fail_closed,fresh_validation_changed_action_prior_rank_mean,fresh_validation_changed_action_prior_rank_p50,fresh_validation_changed_action_prior_rank_p90,fresh_validation_changed_state_prior_margin_mean,fresh_validation_changed_state_prior_margin_p50,fresh_validation_changed_state_prior_margin_p90,fresh_validation_changed_state_prior_margin_top1_to_top2_mean,fresh_validation_changed_state_prior_margin_top1_to_top2_p50,fresh_validation_changed_state_prior_margin_top1_to_top2_p90,fresh_validation_changed_state_prior_top1_prob_mean,fresh_validation_changed_state_selected_prior_prob_mean,fresh_validation_changed_to_rank_ge5_rate,fresh_validation_changed_to_top2_rate,fresh_validation_changed_to_top3_rate,fresh_validation_changed_to_top5_rate,fresh_validation_enabled,fresh_validation_episode_count,fresh_validation_episodes,fresh_validation_gate_pass,fresh_validation_neural_delta_abs_max,fresh_validation_neural_delta_abs_mean,fresh_validation_rule_agreement,fresh_validation_seed_hash,fresh_validation_seed_registry_id,fresh_validation_top1_action_changed_rate,illegal_action_rate_fail_closed,iterations,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,opponent_mode,pilot_config_id,qualified_for_eval,ratio_mode,rerun_config_id,rule_kl_coef,rule_score_scale,rule_score_scale_version,source_checkpoint_sha256,source_config_id,step38a_eval_sanity_pass,step38a_movement_pass,step38a_pass,step38a_stability_pass,step39_movement_quality_pass,train_movement_quality_gate_pass,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold
0.5,all,3,False,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.01,16,16,nan,nan,nan,nan,nan,fixed-seed smoke; learner seat 0 only,d8a3846e400d0d45,base=202604540000:stride=1:count=16,"train_movement_quality_gate_failed,fresh_validation_gate_failed",sanity check only; not duplicate strength evidence,nan,0,0,0,0.0,0.0,0.0,216,68,79,3.0001156330108643,1.0,6.087963104248047,0.6069320440292358,-0.7171609401702881,-2.2836873531341553,0.8306494355201721,216,3.0045740604400635,68,184,3.0,3.005000114440918,3.009500026702881,79,68,11,0,0,0.21759259700775146,0.013440174981951714,0.29629629850387573,0.40740740299224854,0,disabled,0.14814814814814814,0.013440174981951714,0.21759259700775146,3.4303767681121826,-0.052171964198350906,0.6228219270706177,0.8660370707511902,False,7.203125,8.0,10.699996948242188,3.0053906179964542,3.00600004196167,3.009000062942505,0.6508900495246053,0.03223257572972216,0.75,0.03125,0.140625,0.34375,0.33781683444976807,0.3493618965148926,0.727737545967102,2.113632917404175,0.31673720479011536,0.7037037014961243,0.7500289082527161,0.75,0.29629629850387573,0.025483040139079094,0.40740740299224854,nan,6.625,7.0,10.0,3.005027790864309,3.00600004196167,3.0088999271392822,3.0001388788223267,3.0,3.000999927520752,0.6757080944048034,0.0334740095357928,0.7083333333333334,0.09722222222222222,0.19444444444444445,0.3472222222222222,True,16,16,False,2.0258491039276123,0.3700348436832428,0.6814159154891968,47374ad53ba9bdb0,base=202604550000:stride=1:count=16:seats=0,0.3185840845108032,nan,3,0.0,3,0.003,rulebase,0,False,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,False,False,False,True,False,False,8,0.0,0.75
0.5,topk,3,False,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.01,16,16,nan,nan,nan,nan,nan,fixed-seed smoke; learner seat 0 only,d8a3846e400d0d45,base=202604540000:stride=1:count=16,"train_movement_quality_gate_failed,fresh_validation_gate_failed",sanity check only; not duplicate strength evidence,nan,145,78,78,3.0000550746917725,0.6502242152466368,8.075861930847168,78,22,40,3.0001280307769775,0.34977578475336324,1.7307692766189575,2.395263433456421,0.38271433115005493,-1.1577004194259644,0.9507315754890442,223,3.004305124282837,100,185,3.0,3.003999948501587,3.0097999572753906,118,100,18,0,0,0.23766815662384033,0.015411031432449818,0.21524663269519806,0.38116592168807983,0,disabled,0.17040358744394618,0.015411031432449818,0.23766815662384033,3.6183807849884033,0.018563074991106987,0.5677974820137024,0.8557406067848206,False,8.375,10.0,11.299999237060547,3.006833334763845,3.007999897003174,3.0102999210357666,0.6461282807091872,0.031952733367991946,0.7916666666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.3146812319755554,0.27241674065589905,0.7176113724708557,1.396748423576355,0.3555375635623932,0.7847533822059631,0.7500202059745789,0.75,0.21524663269519806,0.028378134593367577,0.38116592168807983,nan,9.08,10.0,11.599998474121094,3.0076000118255615,3.009000062942505,3.009999990463257,3.0,3.0,3.0,0.6632941675186157,0.03277768455445766,0.88,0.08,0.12,0.12,True,16,16,False,1.2770651578903198,0.3407684862613678,0.8826290965080261,47374ad53ba9bdb0,base=202604550000:stride=1:count=16:seats=0,0.11737088859081268,nan,3,0.0,3,0.003,rulebase,1,False,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,False,True,False,True,False,False,8,0.0,0.75
0.5,topk,5,False,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.01,16,16,nan,nan,nan,nan,nan,fixed-seed smoke; learner seat 0 only,d8a3846e400d0d45,base=202604540000:stride=1:count=16,"train_movement_quality_gate_failed,fresh_validation_gate_failed",sanity check only; not duplicate strength evidence,nan,125,104,104,3.0001838207244873,0.5122950819672131,9.079999923706055,119,65,101,3.0001845359802246,0.48770491803278687,2.529411792755127,3.827364921569824,1.066314697265625,-0.7350753545761108,1.1244282722473145,244,3.0044260025024414,169,202,3.0,3.003999948501587,3.009999990463257,205,169,36,0,0,0.2704918086528778,0.015168586745858192,0.4754098355770111,0.4713114798069,0,disabled,0.1721311475409836,0.015168586745858192,0.2704918086528778,3.2940027713775635,-0.05262618511915207,0.5726776719093323,0.8338420987129211,False,7.267241379310345,9.0,12.0,3.005698263645172,3.006999969482422,3.010999917984009,0.6595447674907488,0.032649919310391975,0.6896551724137931,0.25862068965517243,0.28448275862068967,0.33620689655172414,0.3274335563182831,0.08397021889686584,1.0250598192214966,1.374873161315918,0.3468223512172699,0.5245901346206665,0.7500460147857666,0.75,0.4754098355770111,0.03499963879585266,0.4713114798069,nan,7.907894736842105,9.0,12.0,3.006342103606776,3.007999897003174,3.010999917984009,3.0000263138821253,3.0,3.0,0.652186001601972,0.03226619973582657,0.7368421052631579,0.11842105263157894,0.19736842105263158,0.3157894736842105,True,16,16,False,1.2228947877883911,0.297169953584671,0.6561086177825928,47374ad53ba9bdb0,base=202604550000:stride=1:count=16:seats=0,0.3438914120197296,nan,3,0.0,3,0.003,rulebase,2,False,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,False,False,False,True,False,False,8,0.0,0.75
0.5,weak-margin,3,False,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.01,16,16,nan,nan,nan,nan,nan,fixed-seed smoke; learner seat 0 only,d8a3846e400d0d45,base=202604540000:stride=1:count=16,"train_movement_quality_gate_failed,fresh_validation_gate_failed",sanity check only; not duplicate strength evidence,nan,261,172,200,3.0002377033233643,1.0,6.084290981292725,0,0,0,0.0,0.0,0.0,1.6907637119293213,0.4949292242527008,-1.0153114795684814,0.7773287892341614,261,3.004655361175537,172,224,3.0,3.003999948501587,3.009999990463257,200,172,28,0,0,0.0,9.757596853887662e-05,0.0,0.0,0,disabled,0.1417624521072797,9.757596853887662e-05,0.0,3.3188111782073975,0.0,0.559846818447113,0.8539207577705383,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7107734680175781,0.7084307074546814,0.7430437207221985,0.08109322190284729,0.028084583580493927,1.0,0.7500594258308411,0.75,0.0,0.0012788589810952544,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,16,16,False,0.07397759705781937,0.022265924140810966,1.0,47374ad53ba9bdb0,base=202604550000:stride=1:count=16:seats=0,0.0,nan,3,0.0,3,0.003,rulebase,3,False,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,False,False,False,True,False,False,8,0.0,0.75
0.75,weak-margin,3,False,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.01,16,16,nan,nan,nan,nan,nan,fixed-seed smoke; learner seat 0 only,d8a3846e400d0d45,base=202604540000:stride=1:count=16,"train_movement_quality_gate_failed,fresh_validation_gate_failed",sanity check only; not duplicate strength evidence,nan,226,88,114,3.000190019607544,1.0,5.876106262207031,0,0,0,0.0,0.0,0.0,1.5959491729736328,-0.021737216040492058,-1.0974074602127075,0.8296573758125305,226,3.0044867992401123,88,186,3.0,3.003999948501587,3.009999990463257,114,88,26,0,0,0.0,0.00012355991930235177,0.0,0.0,0,disabled,0.17699115044247787,0.00012355991930235177,0.0,3.329765558242798,0.0,0.5583413243293762,0.8532701134681702,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7197660803794861,0.721784234046936,0.7435364723205566,0.1540323942899704,0.0623968169093132,1.0,0.750047504901886,0.75,0.0,0.0015392762143164873,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,16,16,False,0.12271828949451447,0.057099927216768265,1.0,47374ad53ba9bdb0,base=202604550000:stride=1:count=16:seats=0,0.0,nan,3,0.0,3,0.003,rulebase,4,False,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,False,False,False,True,False,False,8,0.0,0.75
1.0,weak-margin,3,False,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.01,16,16,nan,nan,nan,nan,nan,fixed-seed smoke; learner seat 0 only,d8a3846e400d0d45,base=202604540000:stride=1:count=16,"train_movement_quality_gate_failed,fresh_validation_gate_failed",sanity check only; not duplicate strength evidence,nan,245,133,155,3.0001630783081055,1.0,6.4448981285095215,0,0,0,0.0,0.0,0.0,1.437167763710022,0.1353527456521988,-1.2756526470184326,0.8680738210678101,245,3.0049877166748047,133,208,3.0,3.005000114440918,3.009999990463257,155,133,22,0,0,0.0,7.756619015708566e-05,0.0,0.0,0,disabled,0.1510204081632653,7.756619015708566e-05,0.0,3.527146577835083,0.0,0.5524006485939026,0.8595486283302307,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7078644633293152,0.7081041932106018,0.7386729717254639,0.08751406520605087,0.01754082553088665,1.0,0.7500407695770264,0.75,0.0,0.0014300754992291331,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,16,16,False,0.07207544147968292,0.013562005013227463,1.0,47374ad53ba9bdb0,base=202604550000:stride=1:count=16:seats=0,0.0,nan,3,0.0,3,0.003,rulebase,5,False,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,False,False,False,True,False,False,8,0.0,0.75
0.5,topk-or-weak-margin,3,False,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.01,16,16,nan,nan,nan,nan,nan,fixed-seed smoke; learner seat 0 only,d8a3846e400d0d45,base=202604540000:stride=1:count=16,"train_movement_quality_gate_failed,fresh_validation_gate_failed",sanity check only; not duplicate strength evidence,nan,161,130,130,3.000223398208618,0.6736401673640168,7.757763862609863,78,37,70,3.0001792907714844,0.3263598326359833,1.8461538553237915,5.747575759887695,1.938106656074524,-2.0941474437713623,1.867598533630371,239,3.004439115524292,167,202,3.0,3.003999948501587,3.009999990463257,200,167,33,0,0,0.3514644205570221,0.03661895915865898,0.4142259359359741,0.47698745131492615,0,disabled,0.15481171548117154,0.03661895915865898,0.3514644205570221,3.202580213546753,-0.14802683889865875,0.6741703748703003,0.8603417873382568,False,5.454545454545454,5.0,9.0,3.0038686954613887,3.003000020980835,3.007999897003174,0.6530968811776903,0.032391183962575114,0.5353535353535354,0.1111111111111111,0.30303030303030304,0.5858585858585859,0.2638632357120514,0.13756275177001953,0.674932062625885,7.329050540924072,1.3654186725616455,0.5857740640640259,0.750052273273468,0.75,0.4142259359359741,0.07069624960422516,0.47698745131492615,nan,5.9421487603305785,5.0,11.0,3.0042644611074905,3.003000020980835,3.009999990463257,3.00011569409331,3.0,3.000999927520752,0.6644208973104303,0.03293952990846693,0.5702479338842975,0.1487603305785124,0.33884297520661155,0.5289256198347108,True,16,16,False,6.74678897857666,1.5445810556411743,0.5160000324249268,47374ad53ba9bdb0,base=202604550000:stride=1:count=16:seats=0,0.48399999737739563,nan,3,0.0,3,0.003,rulebase,6,False,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,False,False,False,False,False,False,8,0.0,0.75
0.75,topk-or-weak-margin,3,False,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.01,16,16,nan,nan,nan,nan,nan,fixed-seed smoke; learner seat 0 only,d8a3846e400d0d45,base=202604540000:stride=1:count=16,"train_movement_quality_gate_failed,fresh_validation_gate_failed",sanity check only; not duplicate strength evidence,nan,148,107,107,3.0001754760742188,0.714975845410628,8.182432174682617,59,21,48,3.000169515609741,0.28502415458937197,1.6610169410705566,3.790559768676758,0.7232078313827515,-1.1184459924697876,1.0446717739105225,207,3.0048258304595947,128,176,3.0,3.005000114440918,3.009999990463257,155,128,27,0,0,0.2995169162750244,0.017632918432354927,0.24637681245803833,0.30434781312942505,0,disabled,0.1497584541062802,0.017632918432354927,0.2995169162750244,3.2927684783935547,-0.3101429045200348,0.562578558921814,0.8439661860466003,False,5.803921568627451,4.0,11.0,3.0039999859005797,3.002000093460083,3.009000062942505,0.6521476834428077,0.03234070265556083,0.43137254901960786,0.2549019607843137,0.49019607843137253,0.5686274509803921,0.37960129976272583,0.3703688979148865,0.8043946623802185,1.3814549446105957,0.30342382192611694,0.7536231875419617,0.750043511390686,0.75,0.24637681245803833,0.025707418099045753,0.30434781312942505,nan,5.042553191489362,3.0,10.0,3.0033191417125944,3.002000093460083,3.0083999633789062,3.000021275053633,3.0,3.0,0.6732450495374963,0.03340854095493225,0.3829787234042553,0.3829787234042553,0.5319148936170213,0.6170212765957447,True,16,16,False,1.4287344217300415,0.3003217577934265,0.7853881120681763,47374ad53ba9bdb0,base=202604550000:stride=1:count=16:seats=0,0.21461187303066254,nan,3,0.0,3,0.003,rulebase,7,False,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,False,True,False,True,False,False,8,0.0,0.75
1.0,topk-or-weak-margin,3,False,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.01,16,16,nan,nan,nan,nan,nan,fixed-seed smoke; learner seat 0 only,d8a3846e400d0d45,base=202604540000:stride=1:count=16,"train_movement_quality_gate_failed,fresh_validation_gate_failed",sanity check only; not duplicate strength evidence,nan,168,150,150,3.0000832080841064,0.721030042918455,7.648809432983398,65,32,60,3.00007700920105,0.27896995708154504,1.8153846263885498,4.0224809646606445,1.1783242225646973,-0.8828470706939697,1.1002111434936523,233,3.0044679641723633,182,204,3.0,3.003999948501587,3.009000062942505,210,182,28,0,0,0.2660944163799286,0.014568622224032879,0.2403433471918106,0.4034334719181061,0,disabled,0.12446351931330472,0.014568622224032879,0.2660944163799286,3.178356885910034,0.02907356061041355,0.5443076491355896,0.8276211619377136,False,7.125,6.0,12.0,3.0055357260363444,3.003999948501587,3.009999990463257,0.6595432183572224,0.032657955174467394,0.625,0.07142857142857142,0.17857142857142858,0.42857142857142855,0.43457821011543274,0.35067886114120483,1.0159215927124023,1.1286612749099731,0.3075253367424011,0.7596566677093506,0.750020444393158,0.75,0.2403433471918106,0.02959689311683178,0.4034334719181061,nan,6.2745098039215685,5.0,12.0,3.0046078504300584,3.003000020980835,3.009999990463257,3.0,3.0,3.0,0.6676191126599031,0.03308779998298954,0.5490196078431373,0.17647058823529413,0.27450980392156865,0.5098039215686274,True,16,16,False,1.1635560989379883,0.26770174503326416,0.7594339847564697,47374ad53ba9bdb0,base=202604550000:stride=1:count=16:seats=0,0.24056604504585266,nan,3,0.0,3,0.003,rulebase,8,False,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,False,True,False,True,False,False,8,0.0,0.75
0.5,topk-or-weak-margin,5,False,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,0.01,16,16,nan,nan,nan,nan,nan,fixed-seed smoke; learner seat 0 only,d8a3846e400d0d45,base=202604540000:stride=1:count=16,"train_movement_quality_gate_failed,fresh_validation_gate_failed",sanity check only; not duplicate strength evidence,nan,115,94,94,3.000113010406494,0.48936170212765956,8.886956214904785,120,63,93,3.000092029571533,0.5106382978723404,2.7750000953674316,4.776619911193848,1.1975698471069336,-1.2451214790344238,1.4125410318374634,235,3.004246711730957,157,203,3.0,3.003000020980835,3.009000062942505,187,157,30,0,0,0.3063829839229584,0.019612999632954597,0.2468085139989853,0.42127659916877747,0,disabled,0.13617021276595745,0.019612999632954597,0.3063829839229584,3.0956265926361084,-0.10596373677253723,0.6146204471588135,0.8493768572807312,False,6.172413793103448,5.0,11.0,3.0045344788452675,3.003499984741211,3.009999990463257,0.666867779246692,0.03305184536067576,0.6724137931034483,0.017241379310344827,0.1724137931034483,0.5862068965517241,0.4069572687149048,0.4717278778553009,0.7674630284309387,2.3495659828186035,0.373737096786499,0.7531914710998535,0.7500254511833191,0.75,0.2468085139989853,0.0365075059235096,0.42127659916877747,nan,5.257142857142857,4.0,10.599998474121094,3.003657152539208,3.003000020980835,3.0095999240875244,3.0001714161464146,3.0,3.000999927520752,0.6772384416489374,0.03359595240936393,0.49523809523809526,0.21904761904761905,0.34285714285714286,0.6285714285714286,True,16,16,False,2.1488451957702637,0.44178810715675354,0.5625,47374ad53ba9bdb0,base=202604550000:stride=1:count=16:seats=0,0.4375,nan,3,0.0,3,0.003,rulebase,9,False,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,False,True,False,False,False,False,8,0.0,0.75
