action_canonical_key,action_index,action_type,actor,actor_update_dropped,actor_update_keep,actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,entropy_coef,episode_id,final_rank,iteration,legal_count,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,old_log_prob,old_value,opponent_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,terminal_reward,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold
0|tile=0|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,1.213778018951416,0.4098453223705292,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.0,0.01,a02424ae,1,0,13,0.0,3,0.003,-2.6253089904785156,-0.07830974459648132,rulebase,0,3.0,0.6273238062858582,tempered_current_logits,0,0.33153557777404785,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03123261220753193,2,93,0,0.5,1,0.0,0.75
0|tile=2|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,topk,3,1.2990995645523071,0.468360960483551,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.0,0.01,a02424ae,1,0,13,0.0,3,0.003,-2.62528657913208,-0.11340733617544174,rulebase,0,3.0,0.6273432970046997,tempered_current_logits,0,0.3549536168575287,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03123358264565468,2,93,16,0.5,1,0.0,0.75
0|tile=21|consumed=|from=-1|flags=1,1,0,0,False,True,0.75,topk,3,1.405229926109314,0.541147768497467,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.000999927520752,0.01,a02424ae,1,0,13,0.0,3,0.003,-2.6254944801330566,-0.15913674235343933,rulebase,0,3.0,0.6273044943809509,tempered_current_logits,0,0.3820110261440277,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.031200436875224113,3,93,32,0.5,1,0.0,0.75
0|tile=28|consumed=|from=-1|flags=0,12,0,0,True,False,0.75,topk,3,1.3938738107681274,0.5333594679832458,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.01200008392334,0.01,a02424ae,1,0,13,0.0,3,0.003,-2.627735137939453,-0.12468048930168152,rulebase,0,3.0,0.6273044943809509,tempered_current_logits,0,0.40867897868156433,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03085910901427269,13,93,48,0.5,1,0.0,0.75
0|tile=22|consumed=|from=-1|flags=0,3,0,0,True,False,0.75,topk,3,1.4748923778533936,0.5889239311218262,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.003000020980835,0.01,a02424ae,1,0,13,0.0,3,0.003,-2.625932216644287,-0.1507987380027771,rulebase,0,3.0,0.6273044943809509,tempered_current_logits,0,0.4381251931190491,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.031138096004724503,5,93,64,0.5,1,0.0,0.75
0|tile=30|consumed=|from=-1|flags=0,10,0,0,False,True,0.75,topk,3,1.3807530403137207,0.5243608951568604,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.0,0.01,a02424ae,1,0,12,0.0,3,0.003,-1.9503066539764404,-0.060017652809619904,rulebase,0,3.0,0.6472995281219482,tempered_current_logits,0,0.46434324979782104,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6472995281219482,1,93,80,0.5,1,0.0,0.75
0|tile=32|consumed=|from=-1|flags=0,10,0,0,True,False,0.75,topk,3,1.656004548072815,0.7131351828575134,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.009999990463257,0.01,a02424ae,1,0,12,0.0,3,0.003,-2.5522098541259766,-0.21313518285751343,rulebase,0,3.0,0.6474654674530029,tempered_current_logits,0,0.5,0.5,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03191465884447098,11,93,96,0.5,1,0.0,0.75
0|tile=23|consumed=|from=-1|flags=1,5,0,0,True,False,0.75,topk,3,-0.5325062274932861,-0.7877992987632751,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.005000114440918,0.01,76d71cd2,3,0,12,0.0,3,0.003,-2.5512547492980957,-0.11891079694032669,rulebase,0,3.0,0.6473409533500671,tempered_current_logits,0,-0.9067100882530212,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.032068461179733276,7,93,0,-1.5,1,0.0,0.75
0|tile=31|consumed=|from=-1|flags=0,12,0,0,True,False,0.75,topk,3,-0.5620818734169006,-0.8080829977989197,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.01200008392334,0.01,76d71cd2,3,0,13,0.0,3,0.003,-2.6276886463165283,-0.13903121650218964,rulebase,0,3.0,0.6273238062858582,tempered_current_logits,0,-0.9471142292022705,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.030860058963298798,13,93,16,-1.5,1,0.0,0.75
0|tile=23|consumed=|from=-1|flags=0,6,0,0,True,False,0.75,topk,3,-0.5788396596908569,-0.8195759057998657,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.00600004196167,0.01,76d71cd2,3,0,14,0.0,3,0.003,-2.696223735809326,-0.1685171127319336,rulebase,0,3.0,0.6085622906684875,tempered_current_logits,0,-0.9880930185317993,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.030117284506559372,8,93,32,-1.5,1,0.0,0.75
