actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,terminal_reward_mean,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,all,3,0.16967904567718506,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,28,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,9,rulebase,zero,0,19,tempered_current_logits,0,-0.08766318431922368,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,0.05357142857142857,8,0.0,0.75,0
0.75,all,3,0.668375164270401,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,17,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,2,rulebase,zero,0,15,tempered_current_logits,0,0.3424251658074996,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,0.6176470588235294,8,0.0,0.75,0
0.75,all,3,0.35574673612912494,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,18,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,5,rulebase,zero,0,13,tempered_current_logits,0,0.06747837199105157,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,0.19444444444444445,8,0.0,0.75,0
0.75,all,3,0.39312342181801796,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,16,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,3,rulebase,zero,0,13,tempered_current_logits,0,0.1340154381468892,0.001,0.25,keqingrl_rule_score_scale_v1,4,93,0.40625,8,0.0,0.75,0
0.75,all,3,0.21318619804722921,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,21,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,7,rulebase,zero,0,14,tempered_current_logits,0,-0.05051943588824499,0.001,0.25,keqingrl_rule_score_scale_v1,5,93,0.07142857142857142,8,0.0,0.75,0
0.75,all,3,0.22210764275355774,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,22,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,6,rulebase,zero,0,16,tempered_current_logits,0,-0.012364648282527924,0.001,0.25,keqingrl_rule_score_scale_v1,6,93,0.1590909090909091,8,0.0,0.75,0
0.75,all,3,0.21169407227460077,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,17,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,5,rulebase,zero,0,12,tempered_current_logits,0,-0.05911648098160239,0.001,0.25,keqingrl_rule_score_scale_v1,7,93,0.14705882352941177,8,0.0,0.75,0
0.75,all,3,-0.020575055054255893,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,21,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,10,rulebase,zero,0,11,tempered_current_logits,0,-0.2476617026896704,0.001,0.25,keqingrl_rule_score_scale_v1,8,93,-0.2857142857142857,8,0.0,0.75,0
0.75,all,3,0.12033403813838958,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,20,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,7,rulebase,zero,0,13,tempered_current_logits,0,-0.12771850377321242,0.001,0.25,keqingrl_rule_score_scale_v1,9,93,0.025,8,0.0,0.75,0
0.75,all,3,0.4985227446470942,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,14,0.0,0.0,0.0,0.75,all,3,0.01,0,0.0,3,0.003,2,rulebase,zero,0,12,tempered_current_logits,0,0.2684244673166956,0.001,0.25,keqingrl_rule_score_scale_v1,10,93,0.5357142857142857,8,0.0,0.75,0
