action_canonical_key,action_index,action_type,actor,actor_update_dropped,actor_update_keep,actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,episode_id,final_rank,iteration,legal_count,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,old_log_prob,old_value,opponent_mode,outside_support_delta_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,terminal_reward,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold
0|tile=1|consumed=|from=-1|flags=0,2,0,0,False,True,0.75,all,3,0.12452886253595352,0.34718573093414307,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.002000093460083,0.75,all,3,0.01,8b8ad38c,0,0,13,0.0,3,0.003,-2.62568998336792,-0.11555754393339157,rulebase,zero,0,3.0,0.6273044943809509,tempered_current_logits,0,0.2316281795501709,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03116924688220024,4,93,0,1.0,8,0.0,0.75
0|tile=16|consumed=|from=-1|flags=0,9,0,0,False,True,0.75,all,3,0.16936516761779785,0.38402047753334045,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.009000062942505,0.75,all,3,0.01,8b8ad38c,0,0,12,0.0,3,0.003,-2.5519802570343018,-0.13319125771522522,rulebase,zero,0,3.0,0.6474863886833191,tempered_current_logits,0,0.25082921981811523,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03194762021303177,10,93,16,1.0,8,0.0,0.75
0|tile=13|consumed=|from=-1|flags=0,6,0,0,False,True,0.75,all,3,0.29999345541000366,0.4913366436958313,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.00600004196167,0.75,all,3,0.01,8b8ad38c,0,0,11,0.0,3,0.003,-2.470245361328125,-0.21594057977199554,rulebase,zero,0,3.0,0.6688106060028076,tempered_current_logits,0,0.27539604902267456,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03309892863035202,7,93,32,1.0,8,0.0,0.75
0|tile=32|consumed=|from=-1|flags=0,9,0,0,False,True,0.75,all,3,0.2839331030845642,0.4781424403190613,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.009000062942505,0.75,all,3,0.01,8b8ad38c,0,0,11,0.0,3,0.003,-2.470890522003174,-0.17883926630020142,rulebase,zero,0,3.0,0.6688106060028076,tempered_current_logits,0,0.29930317401885986,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.032999780029058456,10,93,48,1.0,8,0.0,0.75
0|tile=30|consumed=|from=-1|flags=0,9,0,0,False,True,0.75,all,3,0.3550088107585907,0.5365338921546936,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.009000062942505,0.75,all,3,0.01,8b8ad38c,0,0,10,0.0,3,0.003,-2.3826980590820312,-0.21040403842926025,rulebase,zero,0,3.0,0.6914684772491455,tempered_current_logits,0,0.32612985372543335,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03411773964762688,10,93,64,1.0,8,0.0,0.75
0|tile=22|consumed=|from=-1|flags=0,7,0,0,False,True,0.75,all,3,0.4952850341796875,0.6517761945724487,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.006999969482422,0.75,all,3,0.01,8b8ad38c,0,0,10,0.0,3,0.003,-2.382343292236328,-0.29305750131607056,rulebase,zero,0,3.0,0.6914448738098145,tempered_current_logits,0,0.3587186932563782,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.034184880554676056,9,93,80,1.0,8,0.0,0.75
0|tile=18|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,0.5856672525405884,0.7260286808013916,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,all,3,0.01,8b8ad38c,0,0,10,0.0,3,0.003,-2.381147623062134,-0.33100855350494385,rulebase,zero,0,3.0,0.6914212107658386,tempered_current_logits,0,0.39502012729644775,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.034389428794384,3,93,96,1.0,8,0.0,0.75
0|tile=10|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,0.679031491279602,0.8027309775352478,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,all,3,0.01,8b8ad38c,0,0,10,0.0,3,0.003,-2.381115436553955,-0.3675743341445923,rulebase,zero,0,3.0,0.6914448738098145,tempered_current_logits,0,0.4351566433906555,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03439060598611832,3,93,112,1.0,8,0.0,0.75
0|tile=17|consumed=|from=-1|flags=0,8,0,0,False,True,0.75,all,3,0.7675879597663879,0.875483512878418,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,all,3,0.01,8b8ad38c,0,0,10,0.0,3,0.003,-1.7808985710144043,-0.3965526819229126,rulebase,zero,0,3.0,0.6914448738098145,tempered_current_logits,0,0.47893083095550537,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6914448738098145,1,93,128,1.0,8,0.0,0.75
0|tile=26|consumed=|from=-1|flags=0,9,0,0,False,True,0.75,all,3,0.7989667057991028,0.9012623429298401,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.009000062942505,0.75,all,3,0.01,8b8ad38c,0,0,10,0.0,3,0.003,-2.382596254348755,-0.37726837396621704,rulebase,zero,0,3.0,0.691586971282959,tempered_current_logits,0,0.523993968963623,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03412358835339546,10,93,144,1.0,8,0.0,0.75
