action_canonical_key,action_index,action_type,actor,actor_update_dropped,actor_update_keep,actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,episode_id,final_rank,iteration,legal_count,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,old_log_prob,old_value,opponent_mode,outside_support_delta_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,support_policy_mode,terminal_reward,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold
0|tile=3|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,-1.5973666906356812,-0.8032974004745483,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,all,3,0.01,8ec1893b,3,0,11,0.0,3,0.003,-2.4693078994750977,-0.06688173115253448,rulebase,zero,0,3.0,0.6687217950820923,tempered_current_logits,0,-0.8701791167259216,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03326042369008064,3,93,0,unrestricted,-1.5,8,0.0,0.75
0|tile=6|consumed=|from=-1|flags=0,6,0,0,False,True,0.75,all,3,-1.6350513696670532,-0.8309742212295532,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,all,3,0.01,8ec1893b,3,0,12,0.0,3,0.003,-1.9502639770507812,-0.08075365424156189,rulebase,zero,0,3.0,0.6473823189735413,tempered_current_logits,0,-0.9117279052734375,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6473823189735413,1,93,16,unrestricted,-1.5,8,0.0,0.75
0|tile=4|consumed=|from=-1|flags=1,4,0,0,False,True,0.75,all,3,-1.6266194581985474,-0.8247814178466797,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.003999948501587,0.75,all,3,0.01,8ec1893b,3,0,13,0.0,3,0.003,-2.625977039337158,-0.12818551063537598,rulebase,zero,0,3.000999927520752,0.6275189518928528,tempered_current_logits,0,-0.9529669284820557,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03111761063337326,5,93,32,unrestricted,-1.5,8,0.0,0.75
0|tile=11|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,-1.6673566102981567,-0.8547001481056213,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,all,3,0.01,8ec1893b,3,0,13,0.0,3,0.003,-2.6253349781036377,-0.14100179076194763,rulebase,zero,0,3.000999927520752,0.6275189518928528,tempered_current_logits,0,-0.9957019090652466,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03121110424399376,2,93,48,unrestricted,-1.5,8,0.0,0.75
0|tile=21|consumed=|from=-1|flags=0,2,0,0,False,True,0.75,all,3,-1.6193853616714478,-0.8194685578346252,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.002000093460083,0.75,all,3,0.01,8ec1893b,3,0,13,0.0,3,0.003,-2.6255667209625244,-0.21720682084560394,rulebase,zero,0,3.000999927520752,0.6275189518928528,tempered_current_logits,0,-1.0366753339767456,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03117990307509899,3,93,64,unrestricted,-1.5,8,0.0,0.75
0|tile=3|consumed=|from=-1|flags=0,2,0,0,False,True,0.75,all,3,-1.635257363319397,-0.8311254382133484,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.002000093460083,0.75,all,3,0.01,8ec1893b,3,0,13,0.0,3,0.003,-2.625582218170166,-0.24710622429847717,rulebase,zero,0,3.0,0.6274406313896179,tempered_current_logits,0,-1.078231692314148,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.0311760101467371,4,93,80,unrestricted,-1.5,8,0.0,0.75
0|tile=6|consumed=|from=-1|flags=1,4,0,0,False,True,0.75,all,3,-1.7608517408370972,-0.9233658909797668,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.003999948501587,0.75,all,3,0.01,8ec1893b,3,0,12,0.0,3,0.003,-2.550990581512451,-0.2010340392589569,rulebase,zero,0,3.0,0.6474446654319763,tempered_current_logits,0,-1.1243999004364014,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.032105691730976105,5,93,96,unrestricted,-1.5,8,0.0,0.75
0|tile=17|consumed=|from=-1|flags=0,11,0,0,False,True,0.75,all,3,-1.808888554573059,-0.9586456418037415,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.010999917984009,0.75,all,3,0.01,8ec1893b,3,0,13,0.0,3,0.003,-2.6273159980773926,-0.21368658542633057,rulebase,zero,0,3.000999927520752,0.6275189518928528,tempered_current_logits,0,-1.1723322868347168,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03090054914355278,12,93,112,unrestricted,-1.5,8,0.0,0.75
0|tile=6|consumed=|from=-1|flags=0,5,0,0,False,True,0.75,all,3,-1.8364402055740356,-0.9788805246353149,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.005000114440918,0.75,all,3,0.01,8ec1893b,3,0,13,0.0,3,0.003,-2.6261844635009766,-0.24239571392536163,rulebase,zero,0,3.000999927520752,0.6275189518928528,tempered_current_logits,0,-1.2212762832641602,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.031086502596735954,6,93,128,unrestricted,-1.5,8,0.0,0.75
0|tile=1|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,-1.7374452352523804,-0.906175434589386,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,all,3,0.01,8ec1893b,3,0,13,0.0,3,0.003,-2.6253161430358887,-0.36040955781936646,rulebase,zero,0,3.000999927520752,0.6275189518928528,tempered_current_logits,0,-1.2665849924087524,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03121110424399376,2,93,144,unrestricted,-1.5,8,0.0,0.75
