actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,support_policy_mode,teacher_source,teacher_temperature,terminal_reward_mean,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,all,3,-0.06948399441499337,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,102,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,50,rulebase,zero,0,52,tempered_current_logits,0,-0.31731757419366463,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,rule-components,1.0,-0.29411764705882354,0.0,none,3,8,0.0,0.75,0
0.75,all,3,0.01706835678068258,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,59,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,26,rulebase,zero,0,33,tempered_current_logits,0,-0.22644935144206224,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,rule-components,1.0,-0.1864406779661017,0.0,none,3,8,0.0,0.75,0
0.75,all,3,-0.11409103572368622,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,60,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,31,rulebase,zero,0,29,tempered_current_logits,0,-0.3737442582845688,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,rule-components,1.0,-0.375,0.0,none,3,8,0.0,0.75,0
0.75,all,3,1.2962430708472052,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,112,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,9,rulebase,zero,0,103,tempered_current_logits,0,-0.28468310620103565,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,rule-components,1.0,0.5089285714285714,0.0,none,3,8,0.0,0.75,0
0.75,all,3,1.694265544035677,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,59,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,2,rulebase,zero,0,57,tempered_current_logits,0,-0.0684918458178892,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,rule-components,1.0,0.6949152542372882,0.0,none,3,8,0.0,0.75,0
0.75,all,3,1.6432776769030502,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,66,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,7,rulebase,zero,0,59,tempered_current_logits,0,-0.0755797800692645,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,rule-components,1.0,0.6742424242424242,0.0,none,3,8,0.0,0.75,0
0.75,all,3,1.0248885433487955,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,103,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,22,rulebase,zero,0,81,tempered_current_logits,0,-0.7329315323274113,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,rule-components,1.0,-0.06310679611650485,0.0,none,3,8,0.0,0.75,0
0.75,all,3,1.2492572207003831,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,55,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,7,rulebase,zero,0,48,tempered_current_logits,0,-0.6482644807208668,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,rule-components,1.0,-0.08181818181818182,0.0,none,3,8,0.0,0.75,0
0.75,all,3,1.0500962346764828,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,68,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,16,rulebase,zero,0,52,tempered_current_logits,0,-0.825407251058256,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,rule-components,1.0,-0.29411764705882354,0.0,none,3,8,0.0,0.75,0
0.75,all,3,0.14765834531425376,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,113,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,41,rulebase,zero,1,72,tempered_current_logits,0,-0.10729253951427156,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,rule-components,1.0,0.01327433628318584,0.01,teacher-ce,3,8,0.0,0.75,0
