action_canonical_key,action_index,action_type,actor,actor_update_dropped,actor_update_keep,actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,episode_id,final_rank,iteration,legal_count,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,old_log_prob,old_value,opponent_mode,outside_support_delta_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,support_policy_mode,teacher_source,teacher_temperature,terminal_reward,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold
0|tile=19|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,1.091162085533142,-0.761940062046051,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,b276d323,3,0,11,0.0,3,0.003,-1.3408267498016357,-0.07646773010492325,rulebase,zero,0,3.000999927520752,0.6688328385353088,tempered_current_logits,0,-0.8384078145027161,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03326594457030296,2,93,0,support-only-topk,rule-components,1.0,-1.5,0.01,teacher-ce,3,1,0.0,0.75
0|tile=0|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,all,3,1.2504676580429077,-0.7340955138206482,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,b276d323,3,0,12,0.0,3,0.003,-1.340780258178711,-0.14101704955101013,rulebase,zero,0,3.0,0.6473202705383301,tempered_current_logits,0,-0.8751125335693359,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03222817927598953,2,93,16,support-only-topk,rule-components,1.0,-1.5,0.01,teacher-ce,3,1,0.0,0.75
0|tile=33|consumed=|from=-1|flags=0,9,0,0,False,True,0.75,all,3,1.3044344186782837,-0.7246628403663635,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,b276d323,3,0,12,0.0,3,0.003,-0.7407564520835876,-0.18668285012245178,rulebase,zero,0,3.0,0.6473202705383301,tempered_current_logits,0,-0.9113457202911377,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6473202705383301,1,93,32,support-only-topk,rule-components,1.0,-1.5,0.01,teacher-ce,3,1,0.0,0.75
0|tile=19|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,1.0888056755065918,-0.762351930141449,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,b276d323,3,0,12,0.0,3,0.003,-1.3408430814743042,-0.18711137771606445,rulebase,zero,0,3.000999927520752,0.6475072503089905,tempered_current_logits,0,-0.9494633078575134,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03220526874065399,2,93,48,support-only-topk,rule-components,1.0,-1.5,0.01,teacher-ce,3,1,0.0,0.75
0|tile=9|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,all,3,1.5340607166290283,-0.6845271587371826,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,b276d323,3,0,12,0.0,3,0.003,-1.3407378196716309,-0.29916247725486755,rulebase,zero,0,3.0,0.6473202705383301,tempered_current_logits,0,-0.9836896657943726,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03222817927598953,2,93,64,support-only-topk,rule-components,1.0,-1.5,0.01,teacher-ce,3,1,0.0,0.75
0|tile=27|consumed=|from=-1|flags=0,9,0,0,False,True,0.75,all,3,0.5284002423286438,-0.8603034615516663,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,b276d323,3,0,12,0.0,3,0.003,-0.7407649755477905,-0.16640134155750275,rulebase,zero,0,3.0,0.6473202705383301,tempered_current_logits,0,-1.0267047882080078,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6473202705383301,1,93,80,support-only-topk,rule-components,1.0,-1.5,0.01,teacher-ce,3,1,0.0,0.75
0|tile=19|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,all,3,0.890207052230835,-0.7970643639564514,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,b276d323,3,0,12,0.0,3,0.003,-1.3407645225524902,-0.26949363946914673,rulebase,zero,0,3.0,0.6473409533500671,tempered_current_logits,0,-1.0665580034255981,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03222920745611191,2,93,96,support-only-topk,rule-components,1.0,-1.5,0.01,teacher-ce,3,1,0.0,0.75
0|tile=20|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,all,3,0.48530814051628113,-0.8678354024887085,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,b276d323,3,0,12,0.0,3,0.003,-1.3407232761383057,-0.2421143800020218,rulebase,zero,0,3.0,0.6472995281219482,tempered_current_logits,0,-1.1099498271942139,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03222714364528656,2,93,112,support-only-topk,rule-components,1.0,-1.5,0.01,teacher-ce,3,1,0.0,0.75
0|tile=3|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,0.4456619322299957,-0.8747650384902954,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,b276d323,3,0,12,0.0,3,0.003,-1.340920329093933,-0.27892300486564636,rulebase,zero,0,3.0,0.647278904914856,tempered_current_logits,0,-1.1536880731582642,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03219391033053398,3,93,128,support-only-topk,rule-components,1.0,-1.5,0.01,teacher-ce,3,1,0.0,0.75
0|tile=27|consumed=|from=-1|flags=1,10,0,0,False,True,0.75,all,3,0.8587086796760559,-0.8025698661804199,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,b276d323,3,0,13,0.0,3,0.003,-0.7407781481742859,-0.3912466764450073,rulebase,zero,0,3.0,0.6273238062858582,tempered_current_logits,0,-1.1938165426254272,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6273238062858582,1,93,144,support-only-topk,rule-components,1.0,-1.5,0.01,teacher-ce,3,1,0.0,0.75
