action_canonical_key,action_index,action_type,actor,actor_update_dropped,actor_update_keep,actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,episode_id,final_rank,iteration,legal_count,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,old_log_prob,old_value,opponent_mode,outside_support_delta_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,support_policy_mode,teacher_contract_version,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_version,terminal_reward,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold
0|tile=13|consumed=|from=-1|flags=0,5,0,0,False,True,0.75,all,3,0.5031522512435913,0.34543243050575256,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,8ab2bc96,0,0,11,0.0,3,0.003,-0.7407419681549072,-0.06935746967792511,rulebase,zero,0,3.0,0.6687217950820923,tempered_current_logits,0,0.27607494592666626,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6687217950820923,1,93,0,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,1.0,0.01,teacher-ce,3,8,0.0,0.75
0|tile=33|consumed=|from=-1|flags=0,9,0,0,False,True,0.75,all,3,0.4882672429084778,0.33252787590026855,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,8ab2bc96,0,0,11,0.0,3,0.003,-0.7407456040382385,-0.03982652351260185,rulebase,zero,0,3.0,0.6686332821846008,tempered_current_logits,0,0.2927013635635376,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6686332821846008,1,93,16,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,1.0,0.01,teacher-ce,3,8,0.0,0.75
0|tile=0|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,all,3,0.5386109948158264,0.3761734068393707,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,8ab2bc96,0,0,10,0.0,3,0.003,-1.340721845626831,-0.064663365483284,rulebase,zero,0,3.0,0.6916107535362244,tempered_current_logits,0,0.31151002645492554,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.0344332717359066,2,93,32,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,1.0,0.01,teacher-ce,3,8,0.0,0.75
0|tile=10|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,0.6469771862030029,0.4701215922832489,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,8ab2bc96,0,0,10,0.0,3,0.003,-0.740699052810669,-0.13510549068450928,rulebase,zero,0,3.0,0.6916107535362244,tempered_current_logits,0,0.3350161015987396,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6916107535362244,1,93,48,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,1.0,0.01,teacher-ce,3,8,0.0,0.75
0|tile=11|consumed=|from=-1|flags=1,3,0,0,False,True,0.75,all,3,0.8449368476867676,0.6417428851127625,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,8ab2bc96,0,0,10,0.0,3,0.003,-0.7407615184783936,-0.2746396064758301,rulebase,zero,0,3.0,0.6915632486343384,tempered_current_logits,0,0.3671032786369324,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6915632486343384,1,93,64,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,1.0,0.01,teacher-ce,3,8,0.0,0.75
0|tile=0|consumed=|from=-1|flags=0,0,0,0,False,True,0.75,all,3,0.8709942698478699,0.6643334031105042,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,8ab2bc96,0,0,10,0.0,3,0.003,-1.340768814086914,-0.26401346921920776,rulebase,zero,0,3.0,0.6914920806884766,tempered_current_logits,0,0.4003199338912964,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03442736342549324,2,93,80,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,1.0,0.01,teacher-ce,3,8,0.0,0.75
0|tile=0|consumed=|from=-1|flags=1,0,0,0,False,True,0.75,all,3,0.921665370464325,0.7082626819610596,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,8ab2bc96,0,0,10,0.0,3,0.003,-1.3407673835754395,-0.27252960205078125,rulebase,zero,0,3.0,0.6914920806884766,tempered_current_logits,0,0.4357330799102783,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03442736342549324,2,93,96,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,1.0,0.01,teacher-ce,3,8,0.0,0.75
0|tile=19|consumed=|from=-1|flags=0,1,0,0,False,True,0.75,all,3,0.8884813785552979,0.67949378490448,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.000999927520752,0.75,topk,3,0.01,8ab2bc96,0,0,11,0.0,3,0.003,-1.340806245803833,-0.20978601276874542,rulebase,zero,0,3.000999927520752,0.6688328385353088,tempered_current_logits,0,0.46970778703689575,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,False,0.03326594457030296,2,93,112,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,1.0,0.01,teacher-ce,3,8,0.0,0.75
0|tile=16|consumed=|from=-1|flags=0,6,0,0,False,True,0.75,all,3,0.9646474719047546,0.745526134967804,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,8ab2bc96,0,0,10,0.0,3,0.003,-0.7407552003860474,-0.23854206502437592,rulebase,zero,0,3.0,0.6914920806884766,tempered_current_logits,0,0.5069840550422668,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6914920806884766,1,93,128,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,1.0,0.01,teacher-ce,3,8,0.0,0.75
0|tile=32|consumed=|from=-1|flags=0,9,0,0,False,True,0.75,all,3,1.095754623413086,0.8591895699501038,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.0,3.0,0.75,topk,3,0.01,8ab2bc96,0,0,10,0.0,3,0.003,-0.7407577037811279,-0.3092460334300995,rulebase,zero,0,3.0,0.6914212107658386,tempered_current_logits,0,0.5499435663223267,0.0,0.001,0.25,keqingrl_rule_score_scale_v1,True,0.6914212107658386,1,93,144,support-only-topk,keqingrl_topk_teacher_v1,rule-prior-topk,topk_distribution,1.0,3,rule_prior_topk_v1,1.0,0.01,teacher-ce,3,8,0.0,0.75
