actor_update_margin_threshold,actor_update_support_mode,actor_update_topk,advantage_mean,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,count,delta_clip,delta_clip_coef,delta_l2_coef,delta_support_margin_threshold,delta_support_mode,delta_support_topk,entropy_coef,iteration,low_rank_flip_penalty_coef,low_rank_flip_topk,lr,negative_advantage_count,opponent_mode,outside_support_delta_mode,pilot_config_id,positive_advantage_count,ratio_mode,rerun_config_id,return_mean,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_prior_rank,source_config_id,support_policy_mode,teacher_confidence_gate,teacher_contract_version,teacher_entropy_max,teacher_margin_min,teacher_prior_agree_min,teacher_source,teacher_target_type,teacher_temperature,teacher_topk,teacher_version,terminal_reward_mean,topk_ranking_aux_coef,topk_ranking_aux_mode,topk_ranking_k,update_epochs,weak_margin_flip_penalty_coef,weak_margin_threshold,zero_advantage_count
0.75,all,3,0.3373066186904907,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,109,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,25,rulebase,zero,0,84,tempered_current_logits,0,0.09599673043970668,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.05,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.2981651376146789,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.3955357701613985,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,58,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,11,rulebase,zero,0,47,tempered_current_logits,0,0.15233694145391727,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.05,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.3793103448275862,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.44392822682857513,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,63,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,13,rulebase,zero,0,50,tempered_current_logits,0,0.1744825437901512,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.05,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.36507936507936506,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.8154025050315344,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,107,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,19,rulebase,zero,0,88,tempered_current_logits,0,-0.8992651812384062,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.05,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,-0.411214953271028,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.5759892111662059,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,52,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,15,rulebase,zero,0,37,tempered_current_logits,0,-1.045969501710855,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.05,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,-0.7211538461538461,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.9190974539259866,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,49,0.0,0.0,0.0,0.75,topk,3,0.01,1,0.0,3,0.003,12,rulebase,zero,0,37,tempered_current_logits,0,-0.8830303142265398,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.05,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,-0.5612244897959183,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,1.2312994995487057,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,112,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,14,rulebase,zero,0,98,tempered_current_logits,0,-0.5331884859395879,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.05,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.17410714285714285,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,1.6700862934947878,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,69,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,4,rulebase,zero,0,65,tempered_current_logits,0,-0.23397225832593613,0.001,0.25,keqingrl_rule_score_scale_v1,2,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.05,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.572463768115942,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,1.4389231018101176,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,60,0.0,0.0,0.0,0.75,topk,3,0.01,2,0.0,3,0.003,9,rulebase,zero,0,51,tempered_current_logits,0,-0.31357350051403043,0.001,0.25,keqingrl_rule_score_scale_v1,3,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.05,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,0.5416666666666666,0.03,teacher-ce,3,8,0.0,0.75,0
0.75,all,3,0.03390815714809382,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,107,0.0,0.0,0.0,0.75,topk,3,0.01,0,0.0,3,0.003,47,rulebase,zero,1,60,tempered_current_logits,0,-0.22769129123086126,0.001,0.25,keqingrl_rule_score_scale_v1,1,93,support-only-topk,True,keqingrl_topk_teacher_v1,0.8,0.1,0.0,rule-component-v1,topk_distribution,1.0,3,action_feature_component_reranker_v1,-0.16355140186915887,0.03,teacher-ce,3,8,0.0,0.75,0
