behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,entropy_coef,episodes,eval_episodes,eval_fourth_rate,eval_learner_deal_in_rate,eval_learner_win_rate,eval_mean_rank,eval_rank_pt,eval_scope,eval_seed_hash,eval_seed_registry_id,eval_strength_note,fallback_rate_fail_closed,final_advantage_max,final_advantage_mean,final_advantage_min,final_advantage_std,final_batch_size,final_mean_delta_needed_to_flip_top1,final_non_top1_positive_advantage_count,final_non_top1_selected_count,final_p10_delta_needed_to_flip_top1,final_p50_delta_needed_to_flip_top1,final_p90_delta_needed_to_flip_top1,final_positive_advantage_count,final_positive_advantage_non_top1_count,final_positive_advantage_top1_count,final_selected_prior_top1_rate,final_tempered_post_update_approx_kl,final_tempered_post_update_clip_fraction,final_tempered_post_update_policy_loss,final_tempered_post_update_rule_kl,final_untempered_post_effective_margin_to_flip_mean,final_untempered_post_effective_margin_to_flip_p50,final_untempered_post_effective_margin_to_flip_p90,final_untempered_post_neural_delta_abs_max,final_untempered_post_neural_delta_abs_mean,final_untempered_post_rule_agreement,final_untempered_post_scaled_prior_margin_mean,final_untempered_post_scaled_prior_margin_p50,final_untempered_post_top1_action_changed_rate,final_untempered_post_update_approx_kl,final_untempered_post_update_clip_fraction,forced_terminal_missed_fail_closed,illegal_action_rate_fail_closed,iterations,lr,opponent_mode,pilot_config_id,ratio_mode,rerun_config_id,rule_kl_coef,rule_score_scale,rule_score_scale_version,source_checkpoint_sha256,source_config_id,step38a_eval_sanity_pass,step38a_movement_pass,step38a_pass,step38a_stability_pass,update_epochs
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,fixed-seed smoke; learner seat 0 only,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,sanity check only; not duplicate strength evidence,0.0,1.7451820373535156,-0.03870709612965584,-1.0243923664093018,0.849420964717865,198,3.0048434734344482,74,169,3.0,3.005000114440918,3.009999990463257,90,74,16,0.14646464646464646,5.526809673028765e-06,0.0,-0.0008824359392747283,0.5520833134651184,0.7438283562660217,0.7437254786491394,0.7500305771827698,0.016568392515182495,0.0035446418914943933,1.0,0.7500378489494324,0.75,0.0,0.0013873777352273464,0.14646464586257935,0,0.0,3,0.001,rulebase,0,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,True,False,False,True,4
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,fixed-seed smoke; learner seat 0 only,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,sanity check only; not duplicate strength evidence,0.0,1.600701093673706,0.10421746224164963,-1.2269377708435059,0.8896515965461731,230,3.004626512527466,121,207,3.0,3.005000114440918,3.009000062942505,134,121,13,0.1,3.981442660005996e-06,0.0,-0.000599892227910459,0.5568065643310547,0.7402777075767517,0.741146981716156,0.7495774030685425,0.034093279391527176,0.010018248111009598,1.0,0.750036895275116,0.75,0.0,0.0010500280186533928,0.10000000149011612,0,0.0,3,0.001,rulebase,1,tempered_current_logits,0,0.005,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,True,False,False,True,4
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,fixed-seed smoke; learner seat 0 only,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,sanity check only; not duplicate strength evidence,0.0,1.911726713180542,0.603973925113678,-0.8926697373390198,0.8243855834007263,229,3.0045065879821777,152,194,3.0,3.003999948501587,3.009999990463257,175,152,23,0.15283842794759825,1.899876951938495e-05,0.0,-0.0008640299784019589,0.5564380288124084,0.7287049889564514,0.731489896774292,0.7466303110122681,0.12039168924093246,0.040088094770908356,1.0,0.7500382661819458,0.75,0.0,0.0014234123518690467,0.0,0,0.0,3,0.001,rulebase,2,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,True,False,False,True,4
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,fixed-seed smoke; learner seat 0 only,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,sanity check only; not duplicate strength evidence,0.0,1.453354001045227,-0.0488458015024662,-1.3004378080368042,0.8797891736030579,220,3.004845380783081,102,191,3.0,3.005000114440918,3.009999990463257,115,102,13,0.1318181818181818,2.5154949980787933e-05,0.0,-0.0016463908832520247,0.560465395450592,0.729275107383728,0.7331686019897461,0.7460153102874756,0.0727226585149765,0.022962184622883797,1.0,0.7500464916229248,0.75,0.0,0.0013067449908703566,0.0,0,0.0,3,0.001,rulebase,3,tempered_current_logits,0,0.005,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,True,False,False,True,4
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,fixed-seed smoke; learner seat 0 only,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,sanity check only; not duplicate strength evidence,0.0,2.2842209339141846,0.520087718963623,-0.996073842048645,0.9287447333335876,227,3.004753589630127,116,199,3.0,3.003999948501587,3.009000062942505,136,116,20,0.12334801762114538,0.00304969260469079,0.1850220263004303,-0.011203446425497532,0.5558307766914368,0.5770629048347473,0.6054142713546753,0.7247719764709473,0.4901866316795349,0.1817999929189682,1.0,0.7500340938568115,0.75,0.0,0.006396298762410879,0.35242289304733276,0,0.0,3,0.001,rulebase,4,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,True,False,False,True,8
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,fixed-seed smoke; learner seat 0 only,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,sanity check only; not duplicate strength evidence,0.0,1.3611204624176025,-0.10568363964557648,-1.3736387491226196,0.8005908131599426,218,3.004206418991089,106,189,3.0,3.003999948501587,3.009000062942505,117,106,11,0.13302752293577982,0.00019839762535411865,0.0,-0.0043411594815552235,0.5537309646606445,0.6888351440429688,0.6909067630767822,0.7561790943145752,0.186003178358078,0.0517791323363781,1.0,0.7500355839729309,0.75,0.0,0.0017185384640470147,0.12844036519527435,0,0.0,3,0.001,rulebase,5,tempered_current_logits,0,0.005,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,True,False,False,True,8
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,fixed-seed smoke; learner seat 0 only,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,sanity check only; not duplicate strength evidence,0.0,2.2173800468444824,0.2600221633911133,-0.9769220352172852,0.9528279304504395,229,3.004869222640991,105,197,3.0,3.005000114440918,3.009999990463257,121,105,16,0.13973799126637554,0.004551940131932497,0.030567685142159462,-0.01942862570285797,0.5738237500190735,0.44315144419670105,0.5043531060218811,0.6862673163414001,1.0843592882156372,0.20675882697105408,0.8864628672599792,0.7500239610671997,0.75,0.11353711783885956,0.010211327113211155,0.15283842384815216,0,0.0,3,0.001,rulebase,6,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,True,True,True,True,8
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.0,0.125,2.25,0.0,fixed-seed smoke; learner seat 0 only,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,sanity check only; not duplicate strength evidence,0.0,2.614459991455078,0.3542131781578064,-1.0666308403015137,0.9828670024871826,221,3.0046019554138184,93,191,3.0,3.003999948501587,3.009999990463257,106,93,13,0.13574660633484162,0.014996272511780262,0.23076923191547394,-0.017251351848244667,0.5623379349708557,0.3728596568107605,0.36839351058006287,0.6682149171829224,0.8190782070159912,0.20313365757465363,0.8868778347969055,0.7500282526016235,0.75,0.11312217265367508,0.027974305674433708,0.3710407316684723,0,0.0,3,0.001,rulebase,7,tempered_current_logits,0,0.005,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,True,True,True,True,8
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,fixed-seed smoke; learner seat 0 only,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,sanity check only; not duplicate strength evidence,0.0,2.0269203186035156,0.4662613272666931,-1.116457462310791,0.900397777557373,222,3.0045764446258545,124,199,3.0,3.003999948501587,3.009000062942505,140,124,16,0.1036036036036036,0.0036536618135869503,0.2477477490901947,-0.011260924860835075,0.5670493841171265,0.41443464159965515,0.4124053716659546,0.6667792201042175,0.7366040349006653,0.2603263854980469,0.9954954981803894,0.7500360012054443,0.75,0.0045045046135783195,0.008231662213802338,0.477477490901947,0,0.0,3,0.003,rulebase,8,tempered_current_logits,0,0.001,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,True,False,False,True,4
1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.1,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.01,16,16,0.375,0.125,0.25,2.3125,-0.03125,fixed-seed smoke; learner seat 0 only,0a023780fd4aa5d1,base=202604310000:stride=1:count=16,sanity check only; not duplicate strength evidence,0.0,2.1010260581970215,0.3753841817378998,-1.0198503732681274,0.8314830660820007,220,3.0044684410095215,112,190,3.0,3.003999948501587,3.009999990463257,135,112,23,0.13636363636363635,0.0006136277806945145,0.004545454401522875,-0.006846962030977011,0.5552262663841248,0.6798679232597351,0.6985435485839844,0.746164083480835,0.34415656328201294,0.10528156906366348,1.0,0.7500284314155579,0.75,0.0,0.0020116500090807676,0.12727272510528564,0,0.0,3,0.003,rulebase,9,tempered_current_logits,0,0.005,0.25,keqingrl_rule_score_scale_v1,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,93,True,False,False,True,4
