action_canonical_key,action_index,action_type,actor,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,entropy_coef,episode_id,final_rank,iteration,legal_count,lr,old_log_prob,old_value,opponent_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,terminal_reward,update_epochs
0|tile=13|consumed=|from=-1|flags=0,5,0,0,0.34521764516830444,0.3616318702697754,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.0,0.01,c164d39e,0,0,11,0.003,-1.8691141605377197,-0.06935746967792511,rulebase,0,3.0,0.6687217950820923,tempered_current_logits,0,0.2922744154930115,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,True,0.6687217950820923,1,93,0,1.0,4
0|tile=19|consumed=|from=-1|flags=0,2,0,0,0.3313498795032501,0.34957993030548096,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.002000093460083,0.01,c164d39e,0,0,11,0.003,-2.46956205368042,-0.03982652351260185,rulebase,0,3.0,0.6686332821846008,tempered_current_logits,0,0.30975341796875,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03322277590632439,4,93,16,1.0,4
0|tile=0|consumed=|from=-1|flags=1,0,0,0,0.33043983578681946,0.3487890362739563,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.0,0.01,c164d39e,0,0,10,0.003,-2.3809189796447754,-0.021596185863018036,rulebase,0,3.0,0.6914448738098145,tempered_current_logits,0,0.32719284296035767,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03442501276731491,2,93,32,1.0,4
0|tile=10|consumed=|from=-1|flags=0,1,0,0,0.4935370087623596,0.49053069949150085,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.000999927520752,0.01,c164d39e,0,0,10,0.003,-2.3810954093933105,-0.13881132006645203,rulebase,0,3.0,0.6914448738098145,tempered_current_logits,0,0.35171937942504883,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03439060598611832,3,93,48,1.0,4
0|tile=21|consumed=|from=-1|flags=0,3,0,0,0.6590375900268555,0.6343611478805542,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.003000020980835,0.01,c164d39e,0,0,10,0.003,-2.3815107345581055,-0.2509237229824066,rulebase,0,3.0,0.6914448738098145,tempered_current_logits,0,0.3834374248981476,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03432189300656319,5,93,64,1.0,4
0|tile=11|consumed=|from=-1|flags=0,2,0,0,0.6799628734588623,0.6525465250015259,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.002000093460083,0.01,c164d39e,0,0,10,0.003,-2.381289005279541,-0.23648177087306976,rulebase,0,3.0,0.6914448738098145,tempered_current_logits,0,0.4160647392272949,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03435622528195381,4,93,80,1.0,4
0|tile=25|consumed=|from=-1|flags=0,5,0,0,0.6960931420326233,0.6665647029876709,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.005000114440918,0.01,c164d39e,0,0,9,0.003,-2.285025119781494,-0.21717172861099243,rulebase,0,3.0,0.7158931493759155,tempered_current_logits,0,0.44939297437667847,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03546445071697235,7,93,96,1.0,4
0|tile=5|consumed=|from=-1|flags=0,2,0,0,0.7520761489868164,0.7152174711227417,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.002000093460083,0.01,c164d39e,0,0,9,0.003,-2.284454822540283,-0.23006360232830048,rulebase,0,3.0,0.7158931493759155,tempered_current_logits,0,0.48515385389328003,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03557100147008896,4,93,112,1.0,4
0|tile=33|consumed=|from=-1|flags=0,8,0,0,0.8362419605255127,0.7883628606796265,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.007999897003174,0.01,c164d39e,0,0,10,0.003,-2.3824501037597656,-0.2637908458709717,rulebase,0,3.0,0.6914920806884766,tempered_current_logits,0,0.5245720148086548,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.0341530442237854,9,93,128,1.0,4
0|tile=21|consumed=|from=-1|flags=0,2,0,0,0.9171038269996643,0.8586368560791016,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.002000093460083,0.01,c164d39e,0,0,10,0.003,-2.381291151046753,-0.29113298654556274,rulebase,0,3.0,0.6914684772491455,tempered_current_logits,0,0.5675038695335388,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03435739874839783,4,93,144,1.0,4
0|tile=22|consumed=|from=-1|flags=0,2,0,0,0.9352596402168274,0.874415397644043,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.002000093460083,0.01,c164d39e,0,0,10,0.003,-2.3813283443450928,-0.26319074630737305,rulebase,0,3.0,0.6914448738098145,tempered_current_logits,0,0.6112246513366699,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03435622528195381,4,93,160,1.0,4
0|tile=6|consumed=|from=-1|flags=0,4,0,0,0.9681282639503479,0.9029803276062012,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.003999948501587,0.01,c164d39e,0,0,10,0.003,-2.3817286491394043,-0.24660666286945343,rulebase,0,3.0,0.6914448738098145,tempered_current_logits,0,0.6563736796379089,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03428759053349495,6,93,176,1.0,4
0|tile=0|consumed=|from=-1|flags=0,0,0,0,1.0181828737258911,0.946480929851532,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.0,0.01,c164d39e,0,0,10,0.003,-2.380934238433838,-0.24278326332569122,rulebase,0,3.0,0.6914448738098145,tempered_current_logits,0,0.703697681427002,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.03442501276731491,2,93,192,1.0,4
0|tile=15|consumed=|from=-1|flags=0,6,0,0,1.1331007480621338,1.0463517904281616,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.00600004196167,0.01,c164d39e,0,0,11,0.003,-2.470378875732422,-0.2903364598751068,rulebase,0,3.0,0.6686332821846008,tempered_current_logits,0,0.7560153007507324,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,False,0.033090151846408844,8,93,208,1.0,4
0|tile=8|consumed=|from=-1|flags=0,9,0,0,1.1805415153503418,1.087580680847168,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.0,0.01,c164d39e,0,0,11,0.003,-1.869174838066101,-0.27718639373779297,rulebase,0,3.0,0.6686332821846008,tempered_current_logits,0,0.810394287109375,0.0,0.005,0.25,keqingrl_rule_score_scale_v1,True,0.6686332821846008,1,93,224,1.0,4
