family,config_label,iterations,seed_base,pass,movement_pass,stability_pass,eval_sanity_pass,rule_kl_coef,delta_l2_coef,delta_clip,delta_clip_coef,top1_changed,effective_margin_to_flip,non_top1_positive_advantage_count,tempered_kl,tempered_clip,untempered_kl,untempered_clip,delta_abs_mean,delta_abs_max,eval_fourth,learner_deal_in,report_path
best5,iter5_rulekl0.005_l20.001_dclip0_dclipcoef0,5,202604300000,False,False,True,True,0.005,0.001,0.0,0.0,0.0,0.6956532001495361,115,0.00025999691570177674,0.0,0.0018393145874142647,0.0,0.030214155092835426,0.11536437273025513,0.375,0.125,reports/keqingrl_step38c_scale025_recovery_20260426_source93/best5_seed_202604300000/summary.md
best5,iter5_rulekl0.005_l20.001_dclip0_dclipcoef0,5,202604310000,False,False,True,True,0.005,0.001,0.0,0.0,0.004999999888241291,0.5258307456970215,112,0.0060105156153440475,0.05000000074505806,0.006117512006312609,0.09000000357627869,0.1529712677001953,0.6396692395210266,0.375,0.125,reports/keqingrl_step38c_scale025_recovery_20260426_source93/best5_seed_202604310000/summary.md
best5,iter5_rulekl0.005_l20.001_dclip0_dclipcoef0,5,202604320000,False,False,True,True,0.005,0.001,0.0,0.0,0.4730290472507477,0.2044648826122284,171,0.010921446606516838,0.18672199547290802,0.022402822971343994,0.3609958589076996,0.3359890282154083,1.570076823234558,0.4375,0.1875,reports/keqingrl_step38c_scale025_recovery_20260426_source93/best5_seed_202604320000/summary.md
best5,iter5_rulekl0.005_l20.001_dclip0_dclipcoef0,5,202604330000,True,True,True,True,0.005,0.001,0.0,0.0,0.2067510485649109,0.35639438033103943,155,0.005543308798223734,0.09282700717449188,0.012091390788555145,0.18565401434898376,0.26058679819107056,0.7806797623634338,0.25,0.0625,reports/keqingrl_step38c_scale025_recovery_20260426_source93/best5_seed_202604330000/summary.md
clip,iter3_rulekl0.005_l20_dclip1_dclipcoef0.001,3,202604300000,False,False,True,True,0.005,0.0,1.0,0.001,0.0,0.7201488018035889,76,0.00088863680139184,0.0,0.002557564526796341,0.015228426083922386,0.08323407918214798,0.1500236988067627,0.375,0.125,reports/keqingrl_step38c_scale025_recovery_20260426_source93/clip_seed_202604300000/summary.md
clip,iter3_rulekl0.01_l20_dclip1_dclipcoef0.001,3,202604300000,True,True,True,True,0.01,0.0,1.0,0.001,0.14222222566604614,0.39169037342071533,99,0.004370404407382011,0.0533333346247673,0.009719585999846458,0.15555556118488312,0.17284396290779114,0.6440125703811646,0.375,0.125,reports/keqingrl_step38c_scale025_recovery_20260426_source93/clip_seed_202604300000/summary.md
clip,iter3_rulekl0.005_l20_dclip1_dclipcoef0.001,3,202604310000,True,True,True,True,0.005,0.0,1.0,0.001,0.17272727191448212,0.36545199155807495,112,0.005440858658403158,0.06363636255264282,0.0131547125056386,0.1772727221250534,0.29348352551460266,0.9508548378944397,0.375,0.0625,reports/keqingrl_step38c_scale025_recovery_20260426_source93/clip_seed_202604310000/summary.md
clip,iter3_rulekl0.01_l20_dclip1_dclipcoef0.001,3,202604310000,True,True,True,True,0.01,0.0,1.0,0.001,0.16438356041908264,0.39239248633384705,108,0.009006532840430737,0.11415524780750275,0.01804477721452713,0.31963470578193665,0.2564699351787567,1.023290753364563,0.375,0.125,reports/keqingrl_step38c_scale025_recovery_20260426_source93/clip_seed_202604310000/summary.md
clip,iter3_rulekl0.005_l20_dclip1_dclipcoef0.001,3,202604320000,False,False,True,True,0.005,0.0,1.0,0.001,0.008163264952600002,0.4451078474521637,123,0.0028759329579770565,0.008163264952600002,0.00782882422208786,0.13061223924160004,0.19530625641345978,0.8258979916572571,0.25,0.0625,reports/keqingrl_step38c_scale025_recovery_20260426_source93/clip_seed_202604320000/summary.md
clip,iter3_rulekl0.01_l20_dclip1_dclipcoef0.001,3,202604320000,False,False,True,True,0.01,0.0,1.0,0.001,0.0,0.7459583878517151,137,0.00015021057333797216,0.0,0.0017403799574822187,0.0,0.011532931588590145,0.026122869923710823,0.25,0.0625,reports/keqingrl_step38c_scale025_recovery_20260426_source93/clip_seed_202604320000/summary.md
