action_canonical_key,action_index,action_type,actor,advantage_normalized,advantage_raw,behavior_temperature,checkpoint_path,checkpoint_sha256,clip_eps,config_key,config_key_label,config_path,delta_clip,delta_clip_coef,delta_l2_coef,delta_needed_to_flip_top1,entropy_coef,episode_id,final_rank,iteration,legal_count,lr,old_log_prob,old_value,opponent_mode,pilot_config_id,prior_top1_margin_to_second,prior_top1_prob,ratio_mode,rerun_config_id,return,reward,rule_kl_coef,rule_score_scale,rule_score_scale_version,selected_is_prior_top1,selected_prior_prob,selected_prior_rank,source_config_id,step_index,terminal_reward,update_epochs
0|tile=1|consumed=|from=-1|flags=0,2,0,0,-0.9875748753547668,-0.8056409955024719,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.0,0.01,638bbc7f,3,0,13,3e-05,-2.0251712799072266,-0.14625391364097595,rulebase,0,3.0,0.6274797320365906,tempered_current_logits,0,-0.9518948793411255,0.0,0.01,0.25,keqingrl_rule_score_scale_v1,True,0.6274797320365906,1,93,0,-1.5,1
0|tile=8|consumed=|from=-1|flags=0,7,0,0,-1.044161081314087,-0.8591381311416626,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.006999969482422,0.01,638bbc7f,3,0,13,3e-05,-2.6266560554504395,-0.13571366667747498,rulebase,0,3.0,0.6273432970046997,tempered_current_logits,0,-0.99485182762146,0.0,0.01,0.25,keqingrl_rule_score_scale_v1,False,0.031015712767839432,9,93,16,-1.5,1
0|tile=27|consumed=|from=-1|flags=0,10,0,0,-1.0791189670562744,-0.8921875357627869,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.009999990463257,0.01,638bbc7f,3,0,13,3e-05,-2.627267360687256,-0.14727362990379333,rulebase,0,3.0,0.6273432970046997,tempered_current_logits,0,-1.0394611358642578,0.0,0.01,0.25,keqingrl_rule_score_scale_v1,False,0.03092280402779579,11,93,32,-1.5,1
0|tile=33|consumed=|from=-1|flags=0,9,0,0,-1.1040209531784058,-0.9157301187515259,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.009000062942505,0.01,638bbc7f,3,0,12,3e-05,-2.5519521236419678,-0.16951756179332733,rulebase,0,3.0,0.6474863886833191,tempered_current_logits,0,-1.0852476358413696,0.0,0.01,0.25,keqingrl_rule_score_scale_v1,False,0.03194762021303177,10,93,48,-1.5,1
0|tile=5|consumed=|from=-1|flags=0,5,0,0,-1.128458857536316,-0.9388338327407837,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.005000114440918,0.01,638bbc7f,3,0,12,3e-05,-2.5511789321899414,-0.193355530500412,rulebase,0,3.0,0.6474863886833191,tempered_current_logits,0,-1.132189393043518,0.0,0.01,0.25,keqingrl_rule_score_scale_v1,False,0.0320756658911705,6,93,64,-1.5,1
0|tile=13|consumed=|from=-1|flags=0,3,0,0,-1.1754804849624634,-0.9832885265350342,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.003000020980835,0.01,638bbc7f,3,0,12,3e-05,-2.5508995056152344,-0.19806528091430664,rulebase,0,3.0,0.647278904914856,tempered_current_logits,0,-1.1813538074493408,0.0,0.01,0.25,keqingrl_rule_score_scale_v1,False,0.03212958574295044,5,93,80,-1.5,1
0|tile=17|consumed=|from=-1|flags=0,7,0,0,-1.1694082021713257,-0.9775476455688477,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.006999969482422,0.01,638bbc7f,3,0,11,3e-05,-2.470593214035034,-0.25268352031707764,rulebase,0,3.0,0.6686112284660339,tempered_current_logits,0,-1.2302311658859253,0.0,0.01,0.25,keqingrl_rule_score_scale_v1,False,0.03305599093437195,9,93,96,-1.5,1
0|tile=22|consumed=|from=-1|flags=0,3,0,0,-1.147709608078003,-0.957033634185791,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.003000020980835,0.01,638bbc7f,3,0,11,3e-05,-2.46968674659729,-0.32104921340942383,rulebase,0,3.0,0.6688106060028076,tempered_current_logits,0,-1.2780828475952148,0.0,0.01,0.25,keqingrl_rule_score_scale_v1,False,0.03319837152957916,4,93,112,-1.5,1
0|tile=31|consumed=|from=-1|flags=0,9,0,0,-1.146318793296814,-0.9557186961174011,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.009000062942505,0.01,638bbc7f,3,0,11,3e-05,-2.470860004425049,-0.370150089263916,rulebase,0,3.0,0.6688106060028076,tempered_current_logits,0,-1.325868844985962,0.0,0.01,0.25,keqingrl_rule_score_scale_v1,False,0.032999780029058456,10,93,128,-1.5,1
0|tile=16|consumed=|from=-1|flags=1,7,0,0,-1.3183332681655884,-1.118342638015747,1.25,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/policy_final.pt,689ed3bc4eacbde87049309fe6a37182cffa1baa03338b8ed653ebab516854fc,0.2,"{""entropy_coef"":0.01,""lr"":3e-05,""opponent_mode"":""rulebase"",""rule_kl_coef"":0.01}",rulebase/rule_kl=0.01/entropy=0.01/lr=3e-05,reports/keqingrl_discard_research_20260425_candidates_checkpoint_rerun/configs/rerun_000_source_93/config.json,0.0,0.0,0.001,3.006999969482422,0.01,638bbc7f,3,0,11,3e-05,-2.4704854488372803,-0.2634432911872864,rulebase,0,3.0,0.6688106060028076,tempered_current_logits,0,-1.3817858695983887,0.0,0.01,0.25,keqingrl_rule_score_scale_v1,False,0.03306584805250168,8,93,144,-1.5,1
